,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
id,1291104920322609154,1291104920322609154,Tara2nissa,tara2nissa,"Houston, TX",1c69a67ad480e1b1,I'm me.... Its all complicated and simple and imperfectly perfect!,,,False,49,56,0,Wed Aug 05 20:13:13 +0000 2020,3275,,,False,False,1009,,1338432932063666176,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_banners/1291104920322609154/1602763901,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
url,1291104920322609154,1291104920322609154,Tara2nissa,tara2nissa,"Houston, TX",https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,I'm me.... Its all complicated and simple and imperfectly perfect!,,,False,49,56,0,Wed Aug 05 20:13:13 +0000 2020,3275,,,False,False,1009,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_banners/1291104920322609154/1602763901,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place_type,1291104920322609154,1291104920322609154,Tara2nissa,tara2nissa,"Houston, TX",unknown,I'm me.... Its all complicated and simple and imperfectly perfect!,,,False,49,56,0,Wed Aug 05 20:13:13 +0000 2020,3275,,,False,False,1009,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_banners/1291104920322609154/1602763901,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
name,1291104920322609154,1291104920322609154,Tara2nissa,tara2nissa,"Houston, TX","Houston, TX",I'm me.... Its all complicated and simple and imperfectly perfect!,,,False,49,56,0,Wed Aug 05 20:13:13 +0000 2020,3275,,,False,False,1009,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_banners/1291104920322609154/1602763901,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
full_name,1291104920322609154,1291104920322609154,Tara2nissa,tara2nissa,"Houston, TX","Houston, TX",I'm me.... Its all complicated and simple and imperfectly perfect!,,,False,49,56,0,Wed Aug 05 20:13:13 +0000 2020,3275,,,False,False,1009,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_banners/1291104920322609154/1602763901,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
country_code,1291104920322609154,1291104920322609154,Tara2nissa,tara2nissa,"Houston, TX",,I'm me.... Its all complicated and simple and imperfectly perfect!,,,False,49,56,0,Wed Aug 05 20:13:13 +0000 2020,3275,,,False,False,1009,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_banners/1291104920322609154/1602763901,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
country,1291104920322609154,1291104920322609154,Tara2nissa,tara2nissa,"Houston, TX",,I'm me.... Its all complicated and simple and imperfectly perfect!,,,False,49,56,0,Wed Aug 05 20:13:13 +0000 2020,3275,,,False,False,1009,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_banners/1291104920322609154/1602763901,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contained_within,1291104920322609154,1291104920322609154,Tara2nissa,tara2nissa,"Houston, TX",[],I'm me.... Its all complicated and simple and imperfectly perfect!,,,False,49,56,0,Wed Aug 05 20:13:13 +0000 2020,3275,,,False,False,1009,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_banners/1291104920322609154/1602763901,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
bounding_box,1291104920322609154,1291104920322609154,Tara2nissa,tara2nissa,"Houston, TX",,I'm me.... Its all complicated and simple and imperfectly perfect!,,,False,49,56,0,Wed Aug 05 20:13:13 +0000 2020,3275,,,False,False,1009,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_banners/1291104920322609154/1602763901,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
attributes,1291104920322609154,1291104920322609154,Tara2nissa,tara2nissa,"Houston, TX",{},I'm me.... Its all complicated and simple and imperfectly perfect!,,,False,49,56,0,Wed Aug 05 20:13:13 +0000 2020,3275,,,False,False,1009,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_images/1291892613776277505/JIIxuI-H_normal.jpg,https://pbs.twimg.com/profile_banners/1291104920322609154/1602763901,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
