,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,860711704317087744,860711704317087744,dirk / caden,wormiphobic,"r, t, c, t ♡ | j ☾ | p ♢",,"16, he/it, white, nd, artist💫
BLM+ACAB",https://t.co/ScNVY5d91C,"{'urls': [{'url': 'https://t.co/ScNVY5d91C', 'expanded_url': 'https://blacklivesmatters.carrd.co/', 'display_url': 'blacklivesmatters.carrd.co', 'indices': [0, 23]}]}",False,503,571,6,Sat May 06 04:23:56 +0000 2017,27258,,,False,False,30566,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_banners/860711704317087744/1608003668,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
description,860711704317087744,860711704317087744,dirk / caden,wormiphobic,"r, t, c, t ♡ | j ☾ | p ♢",,"16, he/it, white, nd, artist💫
BLM+ACAB",https://t.co/ScNVY5d91C,{'urls': []},False,503,571,6,Sat May 06 04:23:56 +0000 2017,27258,,,False,False,30566,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_banners/860711704317087744/1608003668,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,860711704317087744,860711704317087744,dirk / caden,wormiphobic,"r, t, c, t ♡ | j ☾ | p ♢",,"16, he/it, white, nd, artist💫
BLM+ACAB",https://t.co/ScNVY5d91C,,False,503,571,6,Sat May 06 04:23:56 +0000 2017,27258,,,False,False,30566,,Tue Dec 15 06:39:51 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_banners/860711704317087744/1608003668,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
id,860711704317087744,860711704317087744,dirk / caden,wormiphobic,"r, t, c, t ♡ | j ☾ | p ♢",,"16, he/it, white, nd, artist💫
BLM+ACAB",https://t.co/ScNVY5d91C,,False,503,571,6,Sat May 06 04:23:56 +0000 2017,27258,,,False,False,30566,,1338735504397914114,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_banners/860711704317087744/1608003668,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,860711704317087744,860711704317087744,dirk / caden,wormiphobic,"r, t, c, t ♡ | j ☾ | p ♢",,"16, he/it, white, nd, artist💫
BLM+ACAB",https://t.co/ScNVY5d91C,,False,503,571,6,Sat May 06 04:23:56 +0000 2017,27258,,,False,False,30566,,1338735504397914114,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_banners/860711704317087744/1608003668,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
text,860711704317087744,860711704317087744,dirk / caden,wormiphobic,"r, t, c, t ♡ | j ☾ | p ♢",,"16, he/it, white, nd, artist💫
BLM+ACAB",https://t.co/ScNVY5d91C,,False,503,571,6,Sat May 06 04:23:56 +0000 2017,27258,,,False,False,30566,,YO? https://t.co/DSIOt1ceK4,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_banners/860711704317087744/1608003668,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,860711704317087744,860711704317087744,dirk / caden,wormiphobic,"r, t, c, t ♡ | j ☾ | p ♢",,"16, he/it, white, nd, artist💫
BLM+ACAB",https://t.co/ScNVY5d91C,,False,503,571,6,Sat May 06 04:23:56 +0000 2017,27258,,,False,False,30566,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_banners/860711704317087744/1608003668,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
entities,860711704317087744,860711704317087744,dirk / caden,wormiphobic,"r, t, c, t ♡ | j ☾ | p ♢",,"16, he/it, white, nd, artist💫
BLM+ACAB",https://t.co/ScNVY5d91C,,False,503,571,6,Sat May 06 04:23:56 +0000 2017,27258,,,False,False,30566,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DSIOt1ceK4', 'expanded_url': 'https://twitter.com/openmyastroeye/status/1338606802418753537', 'display_url': 'twitter.com/openmyastroeye…', 'indices': [4, 27]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_banners/860711704317087744/1608003668,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
source,860711704317087744,860711704317087744,dirk / caden,wormiphobic,"r, t, c, t ♡ | j ☾ | p ♢",,"16, he/it, white, nd, artist💫
BLM+ACAB",https://t.co/ScNVY5d91C,,False,503,571,6,Sat May 06 04:23:56 +0000 2017,27258,,,False,False,30566,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_banners/860711704317087744/1608003668,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,860711704317087744,860711704317087744,dirk / caden,wormiphobic,"r, t, c, t ♡ | j ☾ | p ♢",,"16, he/it, white, nd, artist💫
BLM+ACAB",https://t.co/ScNVY5d91C,,False,503,571,6,Sat May 06 04:23:56 +0000 2017,27258,,,False,False,30566,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_images/1338386572991934465/NB3e8kQA_normal.jpg,https://pbs.twimg.com/profile_banners/860711704317087744/1608003668,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
