,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1705921568,1705921568,sarah,666sarrah,"San Diego, CA",,sinner + a winner $psypherr,https://t.co/8wviNpccvk,"{'urls': [{'url': 'https://t.co/8wviNpccvk', 'expanded_url': 'http://instagram.com/psyphher', 'display_url': 'instagram.com/psyphher', 'indices': [0, 23]}]}",False,3292,76,12,Wed Aug 28 00:17:00 +0000 2013,59518,,,True,False,21537,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_banners/1705921568/1557501579,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none
description,1705921568,1705921568,sarah,666sarrah,"San Diego, CA",,sinner + a winner $psypherr,https://t.co/8wviNpccvk,{'urls': []},False,3292,76,12,Wed Aug 28 00:17:00 +0000 2013,59518,,,True,False,21537,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_banners/1705921568/1557501579,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,1705921568,1705921568,sarah,666sarrah,"San Diego, CA",,sinner + a winner $psypherr,https://t.co/8wviNpccvk,,False,3292,76,12,Wed Aug 28 00:17:00 +0000 2013,59518,,,True,False,21537,,Mon Oct 19 01:56:03 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_banners/1705921568/1557501579,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none
id,1705921568,1705921568,sarah,666sarrah,"San Diego, CA",,sinner + a winner $psypherr,https://t.co/8wviNpccvk,,False,3292,76,12,Wed Aug 28 00:17:00 +0000 2013,59518,,,True,False,21537,,1318007973780672513,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_banners/1705921568/1557501579,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,1705921568,1705921568,sarah,666sarrah,"San Diego, CA",,sinner + a winner $psypherr,https://t.co/8wviNpccvk,,False,3292,76,12,Wed Aug 28 00:17:00 +0000 2013,59518,,,True,False,21537,,1318007973780672513,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_banners/1705921568/1557501579,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none
text,1705921568,1705921568,sarah,666sarrah,"San Diego, CA",,sinner + a winner $psypherr,https://t.co/8wviNpccvk,,False,3292,76,12,Wed Aug 28 00:17:00 +0000 2013,59518,,,True,False,21537,,@pulte Don’t even use twitter like that anymore and I still have the notifications on! https://t.co/x1MuvNWXSY,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_banners/1705921568/1557501579,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,1705921568,1705921568,sarah,666sarrah,"San Diego, CA",,sinner + a winner $psypherr,https://t.co/8wviNpccvk,,False,3292,76,12,Wed Aug 28 00:17:00 +0000 2013,59518,,,True,False,21537,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_banners/1705921568/1557501579,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none
entities,1705921568,1705921568,sarah,666sarrah,"San Diego, CA",,sinner + a winner $psypherr,https://t.co/8wviNpccvk,,False,3292,76,12,Wed Aug 28 00:17:00 +0000 2013,59518,,,True,False,21537,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pulte', 'name': 'Pulte', 'id': 25029495, 'id_str': '25029495', 'indices': [0, 6]}], 'urls': [], 'media': [{'id': 1318007969863266306, 'id_str': '1318007969863266306', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/EkqBQ_bVcAIXcMy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EkqBQ_bVcAIXcMy.jpg', 'url': 'https://t.co/x1MuvNWXSY', 'display_url': 'pic.twitter.com/x1MuvNWXSY', 'expanded_url': 'https://twitter.com/666sarrah/status/1318007973780672513/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 828, 'h': 1792, 'resize': 'fit'}}}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_banners/1705921568/1557501579,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none
extended_entities,1705921568,1705921568,sarah,666sarrah,"San Diego, CA",,sinner + a winner $psypherr,https://t.co/8wviNpccvk,,False,3292,76,12,Wed Aug 28 00:17:00 +0000 2013,59518,,,True,False,21537,,"{'media': [{'id': 1318007969863266306, 'id_str': '1318007969863266306', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/EkqBQ_bVcAIXcMy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EkqBQ_bVcAIXcMy.jpg', 'url': 'https://t.co/x1MuvNWXSY', 'display_url': 'pic.twitter.com/x1MuvNWXSY', 'expanded_url': 'https://twitter.com/666sarrah/status/1318007973780672513/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 828, 'h': 1792, 'resize': 'fit'}}}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_banners/1705921568/1557501579,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none
source,1705921568,1705921568,sarah,666sarrah,"San Diego, CA",,sinner + a winner $psypherr,https://t.co/8wviNpccvk,,False,3292,76,12,Wed Aug 28 00:17:00 +0000 2013,59518,,,True,False,21537,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_images/1249581997552361473/7PtDtYVE_normal.jpg,https://pbs.twimg.com/profile_banners/1705921568/1557501579,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none
