,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1308080587798839296,1308080587798839296,ً,97SKlT,"do you know kpop? please come to our concert! group name bts, seven members. no money, free!",,#KNJ: fuck homophobia! ✧ she/her,https://t.co/oMmheRYCjL,"{'urls': [{'url': 'https://t.co/oMmheRYCjL', 'expanded_url': 'http://97skit.carrd.co', 'display_url': '97skit.carrd.co', 'indices': [0, 23]}]}",False,2263,1871,16,Mon Sep 21 16:28:17 +0000 2020,5561,,,False,False,8610,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_banners/1308080587798839296/1607959925,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1308080587798839296,1308080587798839296,ً,97SKlT,"do you know kpop? please come to our concert! group name bts, seven members. no money, free!",,#KNJ: fuck homophobia! ✧ she/her,https://t.co/oMmheRYCjL,{'urls': []},False,2263,1871,16,Mon Sep 21 16:28:17 +0000 2020,5561,,,False,False,8610,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_banners/1308080587798839296/1607959925,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1308080587798839296,1308080587798839296,ً,97SKlT,"do you know kpop? please come to our concert! group name bts, seven members. no money, free!",,#KNJ: fuck homophobia! ✧ she/her,https://t.co/oMmheRYCjL,,False,2263,1871,16,Mon Sep 21 16:28:17 +0000 2020,5561,,,False,False,8610,,Tue Dec 15 08:10:54 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_banners/1308080587798839296/1607959925,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1308080587798839296,1308080587798839296,ً,97SKlT,"do you know kpop? please come to our concert! group name bts, seven members. no money, free!",,#KNJ: fuck homophobia! ✧ she/her,https://t.co/oMmheRYCjL,,False,2263,1871,16,Mon Sep 21 16:28:17 +0000 2020,5561,,,False,False,8610,,1338758419533053952,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_banners/1308080587798839296/1607959925,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1308080587798839296,1308080587798839296,ً,97SKlT,"do you know kpop? please come to our concert! group name bts, seven members. no money, free!",,#KNJ: fuck homophobia! ✧ she/her,https://t.co/oMmheRYCjL,,False,2263,1871,16,Mon Sep 21 16:28:17 +0000 2020,5561,,,False,False,8610,,1338758419533053952,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_banners/1308080587798839296/1607959925,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1308080587798839296,1308080587798839296,ً,97SKlT,"do you know kpop? please come to our concert! group name bts, seven members. no money, free!",,#KNJ: fuck homophobia! ✧ she/her,https://t.co/oMmheRYCjL,,False,2263,1871,16,Mon Sep 21 16:28:17 +0000 2020,5561,,,False,False,8610,,i love him i love him i love him so much i want to be his best friend i want to hug him https://t.co/H6t1896om6,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_banners/1308080587798839296/1607959925,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1308080587798839296,1308080587798839296,ً,97SKlT,"do you know kpop? please come to our concert! group name bts, seven members. no money, free!",,#KNJ: fuck homophobia! ✧ she/her,https://t.co/oMmheRYCjL,,False,2263,1871,16,Mon Sep 21 16:28:17 +0000 2020,5561,,,False,False,8610,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_banners/1308080587798839296/1607959925,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1308080587798839296,1308080587798839296,ً,97SKlT,"do you know kpop? please come to our concert! group name bts, seven members. no money, free!",,#KNJ: fuck homophobia! ✧ she/her,https://t.co/oMmheRYCjL,,False,2263,1871,16,Mon Sep 21 16:28:17 +0000 2020,5561,,,False,False,8610,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338758413841362948, 'id_str': '1338758413841362948', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/EpQ5rzEUcAQ6L1_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQ5rzEUcAQ6L1_.jpg', 'url': 'https://t.co/H6t1896om6', 'display_url': 'pic.twitter.com/H6t1896om6', 'expanded_url': 'https://twitter.com/97SKlT/status/1338758419533053952/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 283, 'h': 160, 'resize': 'fit'}, 'small': {'w': 283, 'h': 160, 'resize': 'fit'}, 'large': {'w': 283, 'h': 160, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_banners/1308080587798839296/1607959925,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,1308080587798839296,1308080587798839296,ً,97SKlT,"do you know kpop? please come to our concert! group name bts, seven members. no money, free!",,#KNJ: fuck homophobia! ✧ she/her,https://t.co/oMmheRYCjL,,False,2263,1871,16,Mon Sep 21 16:28:17 +0000 2020,5561,,,False,False,8610,,"{'media': [{'id': 1338758413841362948, 'id_str': '1338758413841362948', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/EpQ5rzEUcAQ6L1_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQ5rzEUcAQ6L1_.jpg', 'url': 'https://t.co/H6t1896om6', 'display_url': 'pic.twitter.com/H6t1896om6', 'expanded_url': 'https://twitter.com/97SKlT/status/1338758419533053952/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 283, 'h': 160, 'resize': 'fit'}, 'small': {'w': 283, 'h': 160, 'resize': 'fit'}, 'large': {'w': 283, 'h': 160, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_banners/1308080587798839296/1607959925,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1308080587798839296,1308080587798839296,ً,97SKlT,"do you know kpop? please come to our concert! group name bts, seven members. no money, free!",,#KNJ: fuck homophobia! ✧ she/her,https://t.co/oMmheRYCjL,,False,2263,1871,16,Mon Sep 21 16:28:17 +0000 2020,5561,,,False,False,8610,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_images/1338507053229195264/QHcpIgMI_normal.jpg,https://pbs.twimg.com/profile_banners/1308080587798839296/1607959925,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
