,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,735418494892662784,735418494892662784,Chris @ still on Carol Gay 🏳️‍🌈,Carolnein,finally with the gf,,"Chris/Lynx, she/her, 25+, not thirsty | taken by @meganekkomeguca | icon by @DLanon, header by @Parmetan | Ko-fi https://t.co/dGIAsxwtLO",https://t.co/0OAIGXf4a2,"{'urls': [{'url': 'https://t.co/0OAIGXf4a2', 'expanded_url': 'http://carolnein.tumblr.com', 'display_url': 'carolnein.tumblr.com', 'indices': [0, 23]}]}",False,561,130,3,Wed May 25 10:33:27 +0000 2016,13605,,,False,False,41666,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_banners/735418494892662784/1471724650,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
description,735418494892662784,735418494892662784,Chris @ still on Carol Gay 🏳️‍🌈,Carolnein,finally with the gf,,"Chris/Lynx, she/her, 25+, not thirsty | taken by @meganekkomeguca | icon by @DLanon, header by @Parmetan | Ko-fi https://t.co/dGIAsxwtLO",https://t.co/0OAIGXf4a2,"{'urls': [{'url': 'https://t.co/dGIAsxwtLO', 'expanded_url': 'http://ko-fi.com/lynxdonate', 'display_url': 'ko-fi.com/lynxdonate', 'indices': [113, 136]}]}",False,561,130,3,Wed May 25 10:33:27 +0000 2016,13605,,,False,False,41666,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_banners/735418494892662784/1471724650,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,735418494892662784,735418494892662784,Chris @ still on Carol Gay 🏳️‍🌈,Carolnein,finally with the gf,,"Chris/Lynx, she/her, 25+, not thirsty | taken by @meganekkomeguca | icon by @DLanon, header by @Parmetan | Ko-fi https://t.co/dGIAsxwtLO",https://t.co/0OAIGXf4a2,,False,561,130,3,Wed May 25 10:33:27 +0000 2016,13605,,,False,False,41666,,Sun Dec 13 16:04:48 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_banners/735418494892662784/1471724650,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
id,735418494892662784,735418494892662784,Chris @ still on Carol Gay 🏳️‍🌈,Carolnein,finally with the gf,,"Chris/Lynx, she/her, 25+, not thirsty | taken by @meganekkomeguca | icon by @DLanon, header by @Parmetan | Ko-fi https://t.co/dGIAsxwtLO",https://t.co/0OAIGXf4a2,,False,561,130,3,Wed May 25 10:33:27 +0000 2016,13605,,,False,False,41666,,1338152902146355202,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_banners/735418494892662784/1471724650,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,735418494892662784,735418494892662784,Chris @ still on Carol Gay 🏳️‍🌈,Carolnein,finally with the gf,,"Chris/Lynx, she/her, 25+, not thirsty | taken by @meganekkomeguca | icon by @DLanon, header by @Parmetan | Ko-fi https://t.co/dGIAsxwtLO",https://t.co/0OAIGXf4a2,,False,561,130,3,Wed May 25 10:33:27 +0000 2016,13605,,,False,False,41666,,1338152902146355202,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_banners/735418494892662784/1471724650,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
text,735418494892662784,735418494892662784,Chris @ still on Carol Gay 🏳️‍🌈,Carolnein,finally with the gf,,"Chris/Lynx, she/her, 25+, not thirsty | taken by @meganekkomeguca | icon by @DLanon, header by @Parmetan | Ko-fi https://t.co/dGIAsxwtLO",https://t.co/0OAIGXf4a2,,False,561,130,3,Wed May 25 10:33:27 +0000 2016,13605,,,False,False,41666,,stock message bc im get cat pins I just backed Canines vs Felines: Enamel Pin Collection on @Kickstarter https://t.co/CzlCgNbGth,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_banners/735418494892662784/1471724650,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,735418494892662784,735418494892662784,Chris @ still on Carol Gay 🏳️‍🌈,Carolnein,finally with the gf,,"Chris/Lynx, she/her, 25+, not thirsty | taken by @meganekkomeguca | icon by @DLanon, header by @Parmetan | Ko-fi https://t.co/dGIAsxwtLO",https://t.co/0OAIGXf4a2,,False,561,130,3,Wed May 25 10:33:27 +0000 2016,13605,,,False,False,41666,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_banners/735418494892662784/1471724650,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
entities,735418494892662784,735418494892662784,Chris @ still on Carol Gay 🏳️‍🌈,Carolnein,finally with the gf,,"Chris/Lynx, she/her, 25+, not thirsty | taken by @meganekkomeguca | icon by @DLanon, header by @Parmetan | Ko-fi https://t.co/dGIAsxwtLO",https://t.co/0OAIGXf4a2,,False,561,130,3,Wed May 25 10:33:27 +0000 2016,13605,,,False,False,41666,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kickstarter', 'name': 'Kickstarter', 'id': 16186995, 'id_str': '16186995', 'indices': [92, 104]}], 'urls': [{'url': 'https://t.co/CzlCgNbGth', 'expanded_url': 'https://www.kickstarter.com/projects/fursonapins/canines-vs-felines-enamel-pin-collection?ref=thanks-tweet', 'display_url': 'kickstarter.com/projects/furso…', 'indices': [105, 128]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_banners/735418494892662784/1471724650,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
source,735418494892662784,735418494892662784,Chris @ still on Carol Gay 🏳️‍🌈,Carolnein,finally with the gf,,"Chris/Lynx, she/her, 25+, not thirsty | taken by @meganekkomeguca | icon by @DLanon, header by @Parmetan | Ko-fi https://t.co/dGIAsxwtLO",https://t.co/0OAIGXf4a2,,False,561,130,3,Wed May 25 10:33:27 +0000 2016,13605,,,False,False,41666,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_banners/735418494892662784/1471724650,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,735418494892662784,735418494892662784,Chris @ still on Carol Gay 🏳️‍🌈,Carolnein,finally with the gf,,"Chris/Lynx, she/her, 25+, not thirsty | taken by @meganekkomeguca | icon by @DLanon, header by @Parmetan | Ko-fi https://t.co/dGIAsxwtLO",https://t.co/0OAIGXf4a2,,False,561,130,3,Wed May 25 10:33:27 +0000 2016,13605,,,False,False,41666,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_images/760273481132933121/WAHInfjd_normal.jpg,https://pbs.twimg.com/profile_banners/735418494892662784/1471724650,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
