,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,"{'urls': [{'url': 'https://t.co/m8nWDA5aDE', 'expanded_url': 'https://medium.com/@duncanhenry78', 'display_url': 'medium.com/@duncanhenry78', 'indices': [0, 23]}]}",False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,{'urls': []},False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,Tue Dec 15 00:50:52 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,1338647681422532609,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,1338647681422532609,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,"@SabrinaMulhJj @claire3brierley @aaron_terrel Still. It shows that I was not lying. I really was on the other side,… https://t.co/5MKGg5wqxL",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,True,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SabrinaMulhJj', 'name': '#IStandWithJKRowling', 'id': 2213087228, 'id_str': '2213087228', 'indices': [0, 14]}, {'screen_name': 'claire3brierley', 'name': 'Claire Brierley', 'id': 1165922345992839168, 'id_str': '1165922345992839168', 'indices': [15, 31]}, {'screen_name': 'aaron_terrel', 'name': 'Aaron the Sacrilegious Software Guy', 'id': 918471750492438528, 'id_str': '918471750492438528', 'indices': [32, 45]}], 'urls': [{'url': 'https://t.co/5MKGg5wqxL', 'expanded_url': 'https://twitter.com/i/web/status/1338647681422532609', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,1338646904104755200,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,1338646904104755200,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,449574902,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,449574902,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,DuncanHenry78,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,6,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,449574902,449574902,Duncan,DuncanHenry78,Sheffield,,Gay Man. Critical of “Gender”. I respect opinions. I support those with gender dysphoria and Women’s rights. #IStandWithJKRowling. Views are my own.,https://t.co/m8nWDA5aDE,,False,4533,392,7,Thu Dec 29 07:51:52 +0000 2011,47107,,,True,False,26286,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_images/1290364701851951104/qLgTb-2w_normal.jpg,https://pbs.twimg.com/profile_banners/449574902/1594240026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
