,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,90638343,90638343,✨🌈GenevieveFT🌈✨,GenevieveFT,Montréal (Canada),,llustrator ✦ Tattoo artist ✦ Contact: info@genevieveft.com ✦ Support: https://t.co/r8K4mDd8kt ✦ Shop: https://t.co/Ihz6caVquP,https://t.co/1AHk0zwpkL,"{'urls': [{'url': 'https://t.co/1AHk0zwpkL', 'expanded_url': 'http://www.genevieveft.com', 'display_url': 'genevieveft.com', 'indices': [0, 23]}]}",False,19781,1058,390,Tue Nov 17 14:20:07 +0000 2009,32673,,,True,False,31040,,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_banners/90638343/1492638069,F5ABB5,FFFFFF,EADEAA,6E4426,True,False,False,False,False,False,False,none
description,90638343,90638343,✨🌈GenevieveFT🌈✨,GenevieveFT,Montréal (Canada),,llustrator ✦ Tattoo artist ✦ Contact: info@genevieveft.com ✦ Support: https://t.co/r8K4mDd8kt ✦ Shop: https://t.co/Ihz6caVquP,https://t.co/1AHk0zwpkL,"{'urls': [{'url': 'https://t.co/r8K4mDd8kt', 'expanded_url': 'http://patreon.com/genevieveft', 'display_url': 'patreon.com/genevieveft', 'indices': [70, 93]}, {'url': 'https://t.co/Ihz6caVquP', 'expanded_url': 'http://genevieveft.com/products', 'display_url': 'genevieveft.com/products', 'indices': [102, 125]}]}",False,19781,1058,390,Tue Nov 17 14:20:07 +0000 2009,32673,,,True,False,31040,,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_banners/90638343/1492638069,F5ABB5,FFFFFF,EADEAA,6E4426,True,False,False,False,False,False,False,none
created_at,90638343,90638343,✨🌈GenevieveFT🌈✨,GenevieveFT,Montréal (Canada),,llustrator ✦ Tattoo artist ✦ Contact: info@genevieveft.com ✦ Support: https://t.co/r8K4mDd8kt ✦ Shop: https://t.co/Ihz6caVquP,https://t.co/1AHk0zwpkL,,False,19781,1058,390,Tue Nov 17 14:20:07 +0000 2009,32673,,,True,False,31040,,Sun Dec 13 18:40:37 +0000 2020,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_banners/90638343/1492638069,F5ABB5,FFFFFF,EADEAA,6E4426,True,False,False,False,False,False,False,none
id,90638343,90638343,✨🌈GenevieveFT🌈✨,GenevieveFT,Montréal (Canada),,llustrator ✦ Tattoo artist ✦ Contact: info@genevieveft.com ✦ Support: https://t.co/r8K4mDd8kt ✦ Shop: https://t.co/Ihz6caVquP,https://t.co/1AHk0zwpkL,,False,19781,1058,390,Tue Nov 17 14:20:07 +0000 2009,32673,,,True,False,31040,,1338192115889807366,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_banners/90638343/1492638069,F5ABB5,FFFFFF,EADEAA,6E4426,True,False,False,False,False,False,False,none
id_str,90638343,90638343,✨🌈GenevieveFT🌈✨,GenevieveFT,Montréal (Canada),,llustrator ✦ Tattoo artist ✦ Contact: info@genevieveft.com ✦ Support: https://t.co/r8K4mDd8kt ✦ Shop: https://t.co/Ihz6caVquP,https://t.co/1AHk0zwpkL,,False,19781,1058,390,Tue Nov 17 14:20:07 +0000 2009,32673,,,True,False,31040,,1338192115889807366,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_banners/90638343/1492638069,F5ABB5,FFFFFF,EADEAA,6E4426,True,False,False,False,False,False,False,none
text,90638343,90638343,✨🌈GenevieveFT🌈✨,GenevieveFT,Montréal (Canada),,llustrator ✦ Tattoo artist ✦ Contact: info@genevieveft.com ✦ Support: https://t.co/r8K4mDd8kt ✦ Shop: https://t.co/Ihz6caVquP,https://t.co/1AHk0zwpkL,,False,19781,1058,390,Tue Nov 17 14:20:07 +0000 2009,32673,,,True,False,31040,,"I completely hecled up my neck while feeding my bunny yesterday... 🤷
The joy of being in your 30s... https://t.co/dEtG7aY40B",False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_banners/90638343/1492638069,F5ABB5,FFFFFF,EADEAA,6E4426,True,False,False,False,False,False,False,none
truncated,90638343,90638343,✨🌈GenevieveFT🌈✨,GenevieveFT,Montréal (Canada),,llustrator ✦ Tattoo artist ✦ Contact: info@genevieveft.com ✦ Support: https://t.co/r8K4mDd8kt ✦ Shop: https://t.co/Ihz6caVquP,https://t.co/1AHk0zwpkL,,False,19781,1058,390,Tue Nov 17 14:20:07 +0000 2009,32673,,,True,False,31040,,False,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_banners/90638343/1492638069,F5ABB5,FFFFFF,EADEAA,6E4426,True,False,False,False,False,False,False,none
entities,90638343,90638343,✨🌈GenevieveFT🌈✨,GenevieveFT,Montréal (Canada),,llustrator ✦ Tattoo artist ✦ Contact: info@genevieveft.com ✦ Support: https://t.co/r8K4mDd8kt ✦ Shop: https://t.co/Ihz6caVquP,https://t.co/1AHk0zwpkL,,False,19781,1058,390,Tue Nov 17 14:20:07 +0000 2009,32673,,,True,False,31040,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338192110114271233, 'id_str': '1338192110114271233', 'indices': [101, 124], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpI2olSXcAEovpF.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpI2olSXcAEovpF.jpg', 'url': 'https://t.co/dEtG7aY40B', 'display_url': 'pic.twitter.com/dEtG7aY40B', 'expanded_url': 'https://twitter.com/GenevieveFT/status/1338192115889807366/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 498, 'h': 230, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 230, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 230, 'resize': 'fit'}}}]}",False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_banners/90638343/1492638069,F5ABB5,FFFFFF,EADEAA,6E4426,True,False,False,False,False,False,False,none
extended_entities,90638343,90638343,✨🌈GenevieveFT🌈✨,GenevieveFT,Montréal (Canada),,llustrator ✦ Tattoo artist ✦ Contact: info@genevieveft.com ✦ Support: https://t.co/r8K4mDd8kt ✦ Shop: https://t.co/Ihz6caVquP,https://t.co/1AHk0zwpkL,,False,19781,1058,390,Tue Nov 17 14:20:07 +0000 2009,32673,,,True,False,31040,,"{'media': [{'id': 1338192110114271233, 'id_str': '1338192110114271233', 'indices': [101, 124], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpI2olSXcAEovpF.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpI2olSXcAEovpF.jpg', 'url': 'https://t.co/dEtG7aY40B', 'display_url': 'pic.twitter.com/dEtG7aY40B', 'expanded_url': 'https://twitter.com/GenevieveFT/status/1338192115889807366/photo/1', 'type': 'animated_gif', 'sizes': {'small': {'w': 498, 'h': 230, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 230, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 230, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [249, 115], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/EpI2olSXcAEovpF.mp4'}]}}]}",False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_banners/90638343/1492638069,F5ABB5,FFFFFF,EADEAA,6E4426,True,False,False,False,False,False,False,none
source,90638343,90638343,✨🌈GenevieveFT🌈✨,GenevieveFT,Montréal (Canada),,llustrator ✦ Tattoo artist ✦ Contact: info@genevieveft.com ✦ Support: https://t.co/r8K4mDd8kt ✦ Shop: https://t.co/Ihz6caVquP,https://t.co/1AHk0zwpkL,,False,19781,1058,390,Tue Nov 17 14:20:07 +0000 2009,32673,,,True,False,31040,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_images/1312163454778736640/I44kwxg2_normal.jpg,https://pbs.twimg.com/profile_banners/90638343/1492638069,F5ABB5,FFFFFF,EADEAA,6E4426,True,False,False,False,False,False,False,none
