,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,2571476275,2571476275,CL,IndigoFairy17,,,"Writer, mental survivor, disability rights, spiritual, animals. HSP. ADHD. Bipolar. #TraumanotPD. #actuallyautistic",,{'urls': []},False,918,2020,27,Mon Jun 16 18:55:18 +0000 2014,30665,,,False,False,16642,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_banners/2571476275/1502271919,00B38F,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none
created_at,2571476275,2571476275,CL,IndigoFairy17,,,"Writer, mental survivor, disability rights, spiritual, animals. HSP. ADHD. Bipolar. #TraumanotPD. #actuallyautistic",,,False,918,2020,27,Mon Jun 16 18:55:18 +0000 2014,30665,,,False,False,16642,,Mon Aug 03 11:31:37 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_banners/2571476275/1502271919,00B38F,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none
id,2571476275,2571476275,CL,IndigoFairy17,,,"Writer, mental survivor, disability rights, spiritual, animals. HSP. ADHD. Bipolar. #TraumanotPD. #actuallyautistic",,,False,918,2020,27,Mon Jun 16 18:55:18 +0000 2014,30665,,,False,False,16642,,1290248957537521666,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_banners/2571476275/1502271919,00B38F,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none
id_str,2571476275,2571476275,CL,IndigoFairy17,,,"Writer, mental survivor, disability rights, spiritual, animals. HSP. ADHD. Bipolar. #TraumanotPD. #actuallyautistic",,,False,918,2020,27,Mon Jun 16 18:55:18 +0000 2014,30665,,,False,False,16642,,1290248957537521666,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_banners/2571476275/1502271919,00B38F,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none
text,2571476275,2571476275,CL,IndigoFairy17,,,"Writer, mental survivor, disability rights, spiritual, animals. HSP. ADHD. Bipolar. #TraumanotPD. #actuallyautistic",,,False,918,2020,27,Mon Jun 16 18:55:18 +0000 2014,30665,,,False,False,16642,,"@outdoorperscrip Wards are horrific, I went once and refused to ever go again despite heavy coercion and threats of sectioning.",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_banners/2571476275/1502271919,00B38F,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none
truncated,2571476275,2571476275,CL,IndigoFairy17,,,"Writer, mental survivor, disability rights, spiritual, animals. HSP. ADHD. Bipolar. #TraumanotPD. #actuallyautistic",,,False,918,2020,27,Mon Jun 16 18:55:18 +0000 2014,30665,,,False,False,16642,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_banners/2571476275/1502271919,00B38F,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none
entities,2571476275,2571476275,CL,IndigoFairy17,,,"Writer, mental survivor, disability rights, spiritual, animals. HSP. ADHD. Bipolar. #TraumanotPD. #actuallyautistic",,,False,918,2020,27,Mon Jun 16 18:55:18 +0000 2014,30665,,,False,False,16642,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'outdoorperscrip', 'name': 'Outdoor prescription', 'id': 888823015835828224, 'id_str': '888823015835828224', 'indices': [0, 16]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_banners/2571476275/1502271919,00B38F,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none
source,2571476275,2571476275,CL,IndigoFairy17,,,"Writer, mental survivor, disability rights, spiritual, animals. HSP. ADHD. Bipolar. #TraumanotPD. #actuallyautistic",,,False,918,2020,27,Mon Jun 16 18:55:18 +0000 2014,30665,,,False,False,16642,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_banners/2571476275/1502271919,00B38F,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none
in_reply_to_status_id,2571476275,2571476275,CL,IndigoFairy17,,,"Writer, mental survivor, disability rights, spiritual, animals. HSP. ADHD. Bipolar. #TraumanotPD. #actuallyautistic",,,False,918,2020,27,Mon Jun 16 18:55:18 +0000 2014,30665,,,False,False,16642,,1289947592147628033,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_banners/2571476275/1502271919,00B38F,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none
in_reply_to_status_id_str,2571476275,2571476275,CL,IndigoFairy17,,,"Writer, mental survivor, disability rights, spiritual, animals. HSP. ADHD. Bipolar. #TraumanotPD. #actuallyautistic",,,False,918,2020,27,Mon Jun 16 18:55:18 +0000 2014,30665,,,False,False,16642,,1289947592147628033,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_images/895230569633677312/RsIZHaUa_normal.jpg,https://pbs.twimg.com/profile_banners/2571476275/1502271919,00B38F,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none
