,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,"{'urls': [{'url': 'https://t.co/vUF3ESRZvE', 'expanded_url': 'https://joshpflynn.contently.com/', 'display_url': 'joshpflynn.contently.com', 'indices': [0, 23]}]}",False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,{'urls': []},False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,Tue Dec 15 02:37:01 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,1338674393103425537,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,1338674393103425537,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,I love The Queen's Gambit so much. Also Anya Taylor-Joy's voice reminds me of Sarah Michelle Gellar 's. https://t.co/NyQfFVqTMa,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338674385943670784, 'id_str': '1338674385943670784', 'indices': [104, 127], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpPtQuwWMAAV2Ro.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpPtQuwWMAAV2Ro.jpg', 'url': 'https://t.co/NyQfFVqTMa', 'display_url': 'pic.twitter.com/NyQfFVqTMa', 'expanded_url': 'https://twitter.com/JoshFlynn/status/1338674393103425537/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 220, 'h': 122, 'resize': 'fit'}, 'small': {'w': 220, 'h': 122, 'resize': 'fit'}, 'large': {'w': 220, 'h': 122, 'resize': 'fit'}, 'thumb': {'w': 122, 'h': 122, 'resize': 'crop'}}}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
extended_entities,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,"{'media': [{'id': 1338674385943670784, 'id_str': '1338674385943670784', 'indices': [104, 127], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpPtQuwWMAAV2Ro.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpPtQuwWMAAV2Ro.jpg', 'url': 'https://t.co/NyQfFVqTMa', 'display_url': 'pic.twitter.com/NyQfFVqTMa', 'expanded_url': 'https://twitter.com/JoshFlynn/status/1338674393103425537/photo/1', 'type': 'animated_gif', 'sizes': {'medium': {'w': 220, 'h': 122, 'resize': 'fit'}, 'small': {'w': 220, 'h': 122, 'resize': 'fit'}, 'large': {'w': 220, 'h': 122, 'resize': 'fit'}, 'thumb': {'w': 122, 'h': 122, 'resize': 'crop'}}, 'video_info': {'aspect_ratio': [110, 61], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/EpPtQuwWMAAV2Ro.mp4'}]}}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
