,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,568975445,568975445,kukie🌻 🇧🇼,Kutlwano_lyn,"gaborone,botswana",,"Disclaimer 🌻 out of mind, sight, lies and apologies. Look elsewhere 🙄",https://t.co/dCk2vI53T5,"{'urls': [{'url': 'https://t.co/dCk2vI53T5', 'expanded_url': 'http://www.essemedia.tv/', 'display_url': 'essemedia.tv', 'indices': [0, 23]}]}",False,669,622,2,Wed May 02 10:05:26 +0000 2012,5210,,,True,False,3335,,,False,False,False,17181C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_banners/568975445/1584721558,43265E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none
description,568975445,568975445,kukie🌻 🇧🇼,Kutlwano_lyn,"gaborone,botswana",,"Disclaimer 🌻 out of mind, sight, lies and apologies. Look elsewhere 🙄",https://t.co/dCk2vI53T5,{'urls': []},False,669,622,2,Wed May 02 10:05:26 +0000 2012,5210,,,True,False,3335,,,False,False,False,17181C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_banners/568975445/1584721558,43265E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none
created_at,568975445,568975445,kukie🌻 🇧🇼,Kutlwano_lyn,"gaborone,botswana",,"Disclaimer 🌻 out of mind, sight, lies and apologies. Look elsewhere 🙄",https://t.co/dCk2vI53T5,,False,669,622,2,Wed May 02 10:05:26 +0000 2012,5210,,,True,False,3335,,Tue Dec 15 08:13:01 +0000 2020,False,False,False,17181C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_banners/568975445/1584721558,43265E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none
id,568975445,568975445,kukie🌻 🇧🇼,Kutlwano_lyn,"gaborone,botswana",,"Disclaimer 🌻 out of mind, sight, lies and apologies. Look elsewhere 🙄",https://t.co/dCk2vI53T5,,False,669,622,2,Wed May 02 10:05:26 +0000 2012,5210,,,True,False,3335,,1338758951769399297,False,False,False,17181C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_banners/568975445/1584721558,43265E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none
id_str,568975445,568975445,kukie🌻 🇧🇼,Kutlwano_lyn,"gaborone,botswana",,"Disclaimer 🌻 out of mind, sight, lies and apologies. Look elsewhere 🙄",https://t.co/dCk2vI53T5,,False,669,622,2,Wed May 02 10:05:26 +0000 2012,5210,,,True,False,3335,,1338758951769399297,False,False,False,17181C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_banners/568975445/1584721558,43265E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none
text,568975445,568975445,kukie🌻 🇧🇼,Kutlwano_lyn,"gaborone,botswana",,"Disclaimer 🌻 out of mind, sight, lies and apologies. Look elsewhere 🙄",https://t.co/dCk2vI53T5,,False,669,622,2,Wed May 02 10:05:26 +0000 2012,5210,,,True,False,3335,,"Water, my late oldies and things before they unfold https://t.co/OzIzQp7OOp",False,False,False,17181C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_banners/568975445/1584721558,43265E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none
truncated,568975445,568975445,kukie🌻 🇧🇼,Kutlwano_lyn,"gaborone,botswana",,"Disclaimer 🌻 out of mind, sight, lies and apologies. Look elsewhere 🙄",https://t.co/dCk2vI53T5,,False,669,622,2,Wed May 02 10:05:26 +0000 2012,5210,,,True,False,3335,,False,False,False,False,17181C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_banners/568975445/1584721558,43265E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none
entities,568975445,568975445,kukie🌻 🇧🇼,Kutlwano_lyn,"gaborone,botswana",,"Disclaimer 🌻 out of mind, sight, lies and apologies. Look elsewhere 🙄",https://t.co/dCk2vI53T5,,False,669,622,2,Wed May 02 10:05:26 +0000 2012,5210,,,True,False,3335,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OzIzQp7OOp', 'expanded_url': 'https://twitter.com/Siphe_kh/status/1338721282288984064', 'display_url': 'twitter.com/Siphe_kh/statu…', 'indices': [52, 75]}]}",False,False,False,17181C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_banners/568975445/1584721558,43265E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none
source,568975445,568975445,kukie🌻 🇧🇼,Kutlwano_lyn,"gaborone,botswana",,"Disclaimer 🌻 out of mind, sight, lies and apologies. Look elsewhere 🙄",https://t.co/dCk2vI53T5,,False,669,622,2,Wed May 02 10:05:26 +0000 2012,5210,,,True,False,3335,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,17181C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_banners/568975445/1584721558,43265E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,568975445,568975445,kukie🌻 🇧🇼,Kutlwano_lyn,"gaborone,botswana",,"Disclaimer 🌻 out of mind, sight, lies and apologies. Look elsewhere 🙄",https://t.co/dCk2vI53T5,,False,669,622,2,Wed May 02 10:05:26 +0000 2012,5210,,,True,False,3335,,,False,False,False,17181C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_images/1329324651328266241/cqLBOjoV_normal.jpg,https://pbs.twimg.com/profile_banners/568975445/1584721558,43265E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none
