,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,{'urls': []},False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,Tue Dec 15 05:26:07 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,1338716947463233537,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,1338716947463233537,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,"I’m tryna get 50% of how schlumped Jinx was, one of these days 😂😂",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
