,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,"{'urls': [{'url': 'https://t.co/OEAYFNXTL1', 'expanded_url': 'https://anchor.fm/gato82', 'display_url': 'anchor.fm/gato82', 'indices': [0, 23]}]}",False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,"{'urls': [{'url': 'https://t.co/aMksXgnqP5', 'expanded_url': 'http://docs.google.com/forms/d/e/1FAI', 'display_url': 'docs.google.com/forms/d/e/1FAI', 'indices': [0, 23]}, {'url': 'https://t.co/Noz9pyVrsG', 'expanded_url': 'https://sites.google.com/view/fortnitecreativegato/home', 'display_url': 'sites.google.com/view/fortnitec…', 'indices': [26, 49]}]}",False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,,False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,Tue Dec 15 03:43:14 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,,False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,1338691057102577670,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,,False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,1338691057102577670,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,,False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,@apollo_aeries Good point. Kinda 💩 device,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,,False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,,False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'apollo_aeries', 'name': 'APØLLO', 'id': 780626782936444929, 'id_str': '780626782936444929', 'indices': [0, 14]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,,False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,,False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,1338690244405694464,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,,False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,1338690244405694464,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,,False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,780626782936444929,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1233600275493085184,1233600275493085184,Gato,MrElGato_,,,"https://t.co/aMksXgnqP5… 
https://t.co/Noz9pyVrsG

to/too/two/2 my pronouns 
asexual bc yes",https://t.co/OEAYFNXTL1,,False,201,58,1,Sat Feb 29 03:50:05 +0000 2020,4194,,,False,False,1288,,780626782936444929,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_images/1324558308490043392/lurKV0Et_normal.jpg,https://pbs.twimg.com/profile_banners/1233600275493085184/1602470991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
