,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,799361117718016000,799361117718016000,"it's me, Rachel",PhantasmaJones,she/they,,I write stuff and sometimes it turns out pretty good. I also do other things. I never know what is going on.  𝑙𝑜𝑡𝑡𝑎 𝑐𝑜𝑛𝑡𝑖𝑛𝑢𝑎,,{'urls': []},False,74,531,0,Thu Nov 17 21:18:36 +0000 2016,14842,,,False,False,8072,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_banners/799361117718016000/1481597065,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,799361117718016000,799361117718016000,"it's me, Rachel",PhantasmaJones,she/they,,I write stuff and sometimes it turns out pretty good. I also do other things. I never know what is going on.  𝑙𝑜𝑡𝑡𝑎 𝑐𝑜𝑛𝑡𝑖𝑛𝑢𝑎,,,False,74,531,0,Thu Nov 17 21:18:36 +0000 2016,14842,,,False,False,8072,,Tue Dec 15 08:20:02 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_banners/799361117718016000/1481597065,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
id,799361117718016000,799361117718016000,"it's me, Rachel",PhantasmaJones,she/they,,I write stuff and sometimes it turns out pretty good. I also do other things. I never know what is going on.  𝑙𝑜𝑡𝑡𝑎 𝑐𝑜𝑛𝑡𝑖𝑛𝑢𝑎,,,False,74,531,0,Thu Nov 17 21:18:36 +0000 2016,14842,,,False,False,8072,,1338760716787077120,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_banners/799361117718016000/1481597065,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,799361117718016000,799361117718016000,"it's me, Rachel",PhantasmaJones,she/they,,I write stuff and sometimes it turns out pretty good. I also do other things. I never know what is going on.  𝑙𝑜𝑡𝑡𝑎 𝑐𝑜𝑛𝑡𝑖𝑛𝑢𝑎,,,False,74,531,0,Thu Nov 17 21:18:36 +0000 2016,14842,,,False,False,8072,,1338760716787077120,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_banners/799361117718016000/1481597065,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
text,799361117718016000,799361117718016000,"it's me, Rachel",PhantasmaJones,she/they,,I write stuff and sometimes it turns out pretty good. I also do other things. I never know what is going on.  𝑙𝑜𝑡𝑡𝑎 𝑐𝑜𝑛𝑡𝑖𝑛𝑢𝑎,,,False,74,531,0,Thu Nov 17 21:18:36 +0000 2016,14842,,,False,False,8072,,RT @SortaBad: The Queen’s Gambit is really great and I’m also pretty sure it holds the record for Love Scene Involving Characters With The…,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_banners/799361117718016000/1481597065,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,799361117718016000,799361117718016000,"it's me, Rachel",PhantasmaJones,she/they,,I write stuff and sometimes it turns out pretty good. I also do other things. I never know what is going on.  𝑙𝑜𝑡𝑡𝑎 𝑐𝑜𝑛𝑡𝑖𝑛𝑢𝑎,,,False,74,531,0,Thu Nov 17 21:18:36 +0000 2016,14842,,,False,False,8072,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_banners/799361117718016000/1481597065,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
entities,799361117718016000,799361117718016000,"it's me, Rachel",PhantasmaJones,she/they,,I write stuff and sometimes it turns out pretty good. I also do other things. I never know what is going on.  𝑙𝑜𝑡𝑡𝑎 𝑐𝑜𝑛𝑡𝑖𝑛𝑢𝑎,,,False,74,531,0,Thu Nov 17 21:18:36 +0000 2016,14842,,,False,False,8072,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SortaBad', 'name': 'Regional Expert', 'id': 248540363, 'id_str': '248540363', 'indices': [3, 12]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_banners/799361117718016000/1481597065,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
source,799361117718016000,799361117718016000,"it's me, Rachel",PhantasmaJones,she/they,,I write stuff and sometimes it turns out pretty good. I also do other things. I never know what is going on.  𝑙𝑜𝑡𝑡𝑎 𝑐𝑜𝑛𝑡𝑖𝑛𝑢𝑎,,,False,74,531,0,Thu Nov 17 21:18:36 +0000 2016,14842,,,False,False,8072,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_banners/799361117718016000/1481597065,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,799361117718016000,799361117718016000,"it's me, Rachel",PhantasmaJones,she/they,,I write stuff and sometimes it turns out pretty good. I also do other things. I never know what is going on.  𝑙𝑜𝑡𝑡𝑎 𝑐𝑜𝑛𝑡𝑖𝑛𝑢𝑎,,,False,74,531,0,Thu Nov 17 21:18:36 +0000 2016,14842,,,False,False,8072,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_banners/799361117718016000/1481597065,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,799361117718016000,799361117718016000,"it's me, Rachel",PhantasmaJones,she/they,,I write stuff and sometimes it turns out pretty good. I also do other things. I never know what is going on.  𝑙𝑜𝑡𝑡𝑎 𝑐𝑜𝑛𝑡𝑖𝑛𝑢𝑎,,,False,74,531,0,Thu Nov 17 21:18:36 +0000 2016,14842,,,False,False,8072,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_images/799363144208576512/rShaEHtg_normal.jpg,https://pbs.twimg.com/profile_banners/799361117718016000/1481597065,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
