,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,730832672189095937,730832672189095937,✨PIKANY ✨,Pikany_chu,México,,Just call me Dany / Mexico / Freelancer artist / ENG and ESP/ ❤❤One piece / FFXIV / COOKIE RUN / HOB ❤❤,https://t.co/CQUDuzfKQW,"{'urls': [{'url': 'https://t.co/CQUDuzfKQW', 'expanded_url': 'https://pikany.carrd.co', 'display_url': 'pikany.carrd.co', 'indices': [0, 23]}]}",False,396,460,0,Thu May 12 18:51:02 +0000 2016,6676,,,False,False,1029,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_banners/730832672189095937/1596414431,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
description,730832672189095937,730832672189095937,✨PIKANY ✨,Pikany_chu,México,,Just call me Dany / Mexico / Freelancer artist / ENG and ESP/ ❤❤One piece / FFXIV / COOKIE RUN / HOB ❤❤,https://t.co/CQUDuzfKQW,{'urls': []},False,396,460,0,Thu May 12 18:51:02 +0000 2016,6676,,,False,False,1029,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_banners/730832672189095937/1596414431,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,730832672189095937,730832672189095937,✨PIKANY ✨,Pikany_chu,México,,Just call me Dany / Mexico / Freelancer artist / ENG and ESP/ ❤❤One piece / FFXIV / COOKIE RUN / HOB ❤❤,https://t.co/CQUDuzfKQW,,False,396,460,0,Thu May 12 18:51:02 +0000 2016,6676,,,False,False,1029,,Tue Dec 15 01:14:40 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_banners/730832672189095937/1596414431,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
id,730832672189095937,730832672189095937,✨PIKANY ✨,Pikany_chu,México,,Just call me Dany / Mexico / Freelancer artist / ENG and ESP/ ❤❤One piece / FFXIV / COOKIE RUN / HOB ❤❤,https://t.co/CQUDuzfKQW,,False,396,460,0,Thu May 12 18:51:02 +0000 2016,6676,,,False,False,1029,,1338653670523559936,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_banners/730832672189095937/1596414431,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,730832672189095937,730832672189095937,✨PIKANY ✨,Pikany_chu,México,,Just call me Dany / Mexico / Freelancer artist / ENG and ESP/ ❤❤One piece / FFXIV / COOKIE RUN / HOB ❤❤,https://t.co/CQUDuzfKQW,,False,396,460,0,Thu May 12 18:51:02 +0000 2016,6676,,,False,False,1029,,1338653670523559936,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_banners/730832672189095937/1596414431,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
text,730832672189095937,730832672189095937,✨PIKANY ✨,Pikany_chu,México,,Just call me Dany / Mexico / Freelancer artist / ENG and ESP/ ❤❤One piece / FFXIV / COOKIE RUN / HOB ❤❤,https://t.co/CQUDuzfKQW,,False,396,460,0,Thu May 12 18:51:02 +0000 2016,6676,,,False,False,1029,,"I want to make a #p4p of these #hualian notebooks, if you are interested you can fill out the form

 open until Jan… https://t.co/7NHpGJKXzO",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_banners/730832672189095937/1596414431,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,730832672189095937,730832672189095937,✨PIKANY ✨,Pikany_chu,México,,Just call me Dany / Mexico / Freelancer artist / ENG and ESP/ ❤❤One piece / FFXIV / COOKIE RUN / HOB ❤❤,https://t.co/CQUDuzfKQW,,False,396,460,0,Thu May 12 18:51:02 +0000 2016,6676,,,False,False,1029,,True,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_banners/730832672189095937/1596414431,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
entities,730832672189095937,730832672189095937,✨PIKANY ✨,Pikany_chu,México,,Just call me Dany / Mexico / Freelancer artist / ENG and ESP/ ❤❤One piece / FFXIV / COOKIE RUN / HOB ❤❤,https://t.co/CQUDuzfKQW,,False,396,460,0,Thu May 12 18:51:02 +0000 2016,6676,,,False,False,1029,,"{'hashtags': [{'text': 'p4p', 'indices': [17, 21]}, {'text': 'hualian', 'indices': [31, 39]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7NHpGJKXzO', 'expanded_url': 'https://twitter.com/i/web/status/1338653670523559936', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_banners/730832672189095937/1596414431,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
source,730832672189095937,730832672189095937,✨PIKANY ✨,Pikany_chu,México,,Just call me Dany / Mexico / Freelancer artist / ENG and ESP/ ❤❤One piece / FFXIV / COOKIE RUN / HOB ❤❤,https://t.co/CQUDuzfKQW,,False,396,460,0,Thu May 12 18:51:02 +0000 2016,6676,,,False,False,1029,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_banners/730832672189095937/1596414431,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,730832672189095937,730832672189095937,✨PIKANY ✨,Pikany_chu,México,,Just call me Dany / Mexico / Freelancer artist / ENG and ESP/ ❤❤One piece / FFXIV / COOKIE RUN / HOB ❤❤,https://t.co/CQUDuzfKQW,,False,396,460,0,Thu May 12 18:51:02 +0000 2016,6676,,,False,False,1029,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_images/1328828569208844288/FAgBgsQa_normal.jpg,https://pbs.twimg.com/profile_banners/730832672189095937/1596414431,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
