,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,{'urls': []},False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,Tue Dec 15 02:49:05 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,1338677432459489282,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,1338677432459489282,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,"RT @DoodleGamerTJ: made my first dnd character, boutta use em in like, a couple hours. His name, is Pistachio, and he may take your things.…",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DoodleGamerTJ', 'name': 'DoodleTJ♪', 'id': 716062067464101889, 'id_str': '716062067464101889', 'indices': [3, 17]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1175248351131881474,1175248351131881474,Skarru,SkarruBird,,,"I like to make art and do things hopefully
he/him, 18, good Christian pansexual",,,False,198,389,6,Sat Sep 21 03:20:33 +0000 2019,10098,,,False,False,2283,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_images/1317663929540124674/uFSF65W__normal.jpg,https://pbs.twimg.com/profile_banners/1175248351131881474/1596419469,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
