,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2242838784,2242838784,TREX,TREXbeatz,"Leeds, England",,"Musician, songwriter, rapper, producer, mixing and mastering engineer. — check out my new song ‘D.I.Y’ out NOW ⬇️| Insta - @Trexbeatz",https://t.co/BcMgZ3uBvU,"{'urls': [{'url': 'https://t.co/BcMgZ3uBvU', 'expanded_url': 'https://distrokid.com/hyperfollow/trex5/diy-feat-tips', 'display_url': 'distrokid.com/hyperfollow/tr…', 'indices': [0, 23]}]}",False,216,527,9,Thu Dec 12 19:48:13 +0000 2013,22129,,,True,False,6818,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_banners/2242838784/1599389110,FF691F,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
description,2242838784,2242838784,TREX,TREXbeatz,"Leeds, England",,"Musician, songwriter, rapper, producer, mixing and mastering engineer. — check out my new song ‘D.I.Y’ out NOW ⬇️| Insta - @Trexbeatz",https://t.co/BcMgZ3uBvU,{'urls': []},False,216,527,9,Thu Dec 12 19:48:13 +0000 2013,22129,,,True,False,6818,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_banners/2242838784/1599389110,FF691F,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
created_at,2242838784,2242838784,TREX,TREXbeatz,"Leeds, England",,"Musician, songwriter, rapper, producer, mixing and mastering engineer. — check out my new song ‘D.I.Y’ out NOW ⬇️| Insta - @Trexbeatz",https://t.co/BcMgZ3uBvU,,False,216,527,9,Thu Dec 12 19:48:13 +0000 2013,22129,,,True,False,6818,,Fri Dec 11 08:05:33 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_banners/2242838784/1599389110,FF691F,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
id,2242838784,2242838784,TREX,TREXbeatz,"Leeds, England",,"Musician, songwriter, rapper, producer, mixing and mastering engineer. — check out my new song ‘D.I.Y’ out NOW ⬇️| Insta - @Trexbeatz",https://t.co/BcMgZ3uBvU,,False,216,527,9,Thu Dec 12 19:48:13 +0000 2013,22129,,,True,False,6818,,1337307519262330881,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_banners/2242838784/1599389110,FF691F,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
id_str,2242838784,2242838784,TREX,TREXbeatz,"Leeds, England",,"Musician, songwriter, rapper, producer, mixing and mastering engineer. — check out my new song ‘D.I.Y’ out NOW ⬇️| Insta - @Trexbeatz",https://t.co/BcMgZ3uBvU,,False,216,527,9,Thu Dec 12 19:48:13 +0000 2013,22129,,,True,False,6818,,1337307519262330881,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_banners/2242838784/1599389110,FF691F,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
text,2242838784,2242838784,TREX,TREXbeatz,"Leeds, England",,"Musician, songwriter, rapper, producer, mixing and mastering engineer. — check out my new song ‘D.I.Y’ out NOW ⬇️| Insta - @Trexbeatz",https://t.co/BcMgZ3uBvU,,False,216,527,9,Thu Dec 12 19:48:13 +0000 2013,22129,,,True,False,6818,,"RT @starwars: Hayden Christensen returns as Darth Vader, joining Ewan McGregor in OBI-WAN KENOBI. The Original Series begins 10 years after…",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_banners/2242838784/1599389110,FF691F,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
truncated,2242838784,2242838784,TREX,TREXbeatz,"Leeds, England",,"Musician, songwriter, rapper, producer, mixing and mastering engineer. — check out my new song ‘D.I.Y’ out NOW ⬇️| Insta - @Trexbeatz",https://t.co/BcMgZ3uBvU,,False,216,527,9,Thu Dec 12 19:48:13 +0000 2013,22129,,,True,False,6818,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_banners/2242838784/1599389110,FF691F,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
entities,2242838784,2242838784,TREX,TREXbeatz,"Leeds, England",,"Musician, songwriter, rapper, producer, mixing and mastering engineer. — check out my new song ‘D.I.Y’ out NOW ⬇️| Insta - @Trexbeatz",https://t.co/BcMgZ3uBvU,,False,216,527,9,Thu Dec 12 19:48:13 +0000 2013,22129,,,True,False,6818,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'starwars', 'name': 'Star Wars', 'id': 20106852, 'id_str': '20106852', 'indices': [3, 12]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_banners/2242838784/1599389110,FF691F,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
source,2242838784,2242838784,TREX,TREXbeatz,"Leeds, England",,"Musician, songwriter, rapper, producer, mixing and mastering engineer. — check out my new song ‘D.I.Y’ out NOW ⬇️| Insta - @Trexbeatz",https://t.co/BcMgZ3uBvU,,False,216,527,9,Thu Dec 12 19:48:13 +0000 2013,22129,,,True,False,6818,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_banners/2242838784/1599389110,FF691F,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,2242838784,2242838784,TREX,TREXbeatz,"Leeds, England",,"Musician, songwriter, rapper, producer, mixing and mastering engineer. — check out my new song ‘D.I.Y’ out NOW ⬇️| Insta - @Trexbeatz",https://t.co/BcMgZ3uBvU,,False,216,527,9,Thu Dec 12 19:48:13 +0000 2013,22129,,,True,False,6818,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_images/1302558448811376641/DO_1IXF4_normal.jpg,https://pbs.twimg.com/profile_banners/2242838784/1599389110,FF691F,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
