,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,567713912,567713912,kelly ❀,acatadeadlydull,she/her | 23 | tx ♡,,+ all the way until the bitter end.,https://t.co/FbB3qTT2VH,"{'urls': [{'url': 'https://t.co/FbB3qTT2VH', 'expanded_url': 'https://twitter.com/acatadeadlydull/status/680906659250581504?s=21', 'display_url': 'twitter.com/acatadeadlydul…', 'indices': [0, 23]}]}",False,7768,609,50,Tue May 01 01:02:17 +0000 2012,14813,,,True,False,43176,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_banners/567713912/1606254853,B594F2,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
description,567713912,567713912,kelly ❀,acatadeadlydull,she/her | 23 | tx ♡,,+ all the way until the bitter end.,https://t.co/FbB3qTT2VH,{'urls': []},False,7768,609,50,Tue May 01 01:02:17 +0000 2012,14813,,,True,False,43176,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_banners/567713912/1606254853,B594F2,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
created_at,567713912,567713912,kelly ❀,acatadeadlydull,she/her | 23 | tx ♡,,+ all the way until the bitter end.,https://t.co/FbB3qTT2VH,,False,7768,609,50,Tue May 01 01:02:17 +0000 2012,14813,,,True,False,43176,,Mon Dec 14 20:11:57 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_banners/567713912/1606254853,B594F2,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
id,567713912,567713912,kelly ❀,acatadeadlydull,she/her | 23 | tx ♡,,+ all the way until the bitter end.,https://t.co/FbB3qTT2VH,,False,7768,609,50,Tue May 01 01:02:17 +0000 2012,14813,,,True,False,43176,,1338577489107546115,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_banners/567713912/1606254853,B594F2,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
id_str,567713912,567713912,kelly ❀,acatadeadlydull,she/her | 23 | tx ♡,,+ all the way until the bitter end.,https://t.co/FbB3qTT2VH,,False,7768,609,50,Tue May 01 01:02:17 +0000 2012,14813,,,True,False,43176,,1338577489107546115,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_banners/567713912/1606254853,B594F2,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
text,567713912,567713912,kelly ❀,acatadeadlydull,she/her | 23 | tx ♡,,+ all the way until the bitter end.,https://t.co/FbB3qTT2VH,,False,7768,609,50,Tue May 01 01:02:17 +0000 2012,14813,,,True,False,43176,,@waterparks It’s 2pm,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_banners/567713912/1606254853,B594F2,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
truncated,567713912,567713912,kelly ❀,acatadeadlydull,she/her | 23 | tx ♡,,+ all the way until the bitter end.,https://t.co/FbB3qTT2VH,,False,7768,609,50,Tue May 01 01:02:17 +0000 2012,14813,,,True,False,43176,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_banners/567713912/1606254853,B594F2,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
entities,567713912,567713912,kelly ❀,acatadeadlydull,she/her | 23 | tx ♡,,+ all the way until the bitter end.,https://t.co/FbB3qTT2VH,,False,7768,609,50,Tue May 01 01:02:17 +0000 2012,14813,,,True,False,43176,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'waterparks', 'name': 'WATERPARKS', 'id': 255284270, 'id_str': '255284270', 'indices': [0, 11]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_banners/567713912/1606254853,B594F2,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
source,567713912,567713912,kelly ❀,acatadeadlydull,she/her | 23 | tx ♡,,+ all the way until the bitter end.,https://t.co/FbB3qTT2VH,,False,7768,609,50,Tue May 01 01:02:17 +0000 2012,14813,,,True,False,43176,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_banners/567713912/1606254853,B594F2,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,567713912,567713912,kelly ❀,acatadeadlydull,she/her | 23 | tx ♡,,+ all the way until the bitter end.,https://t.co/FbB3qTT2VH,,False,7768,609,50,Tue May 01 01:02:17 +0000 2012,14813,,,True,False,43176,,1338577405061914624,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_images/1331355463171104768/TjarIwrx_normal.jpg,https://pbs.twimg.com/profile_banners/567713912/1606254853,B594F2,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
