,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,889339916781576192,889339916781576192,Altius Volantis,altiusvolantis,Poland ,,22 | Brony | Furry | Miraculer | Funtasian | DJ/Producer | Chill Pony,,{'urls': []},False,215,176,0,Mon Jul 24 04:22:14 +0000 2017,3625,,,True,False,1359,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_banners/889339916781576192/1599606183,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,889339916781576192,889339916781576192,Altius Volantis,altiusvolantis,Poland ,,22 | Brony | Furry | Miraculer | Funtasian | DJ/Producer | Chill Pony,,,False,215,176,0,Mon Jul 24 04:22:14 +0000 2017,3625,,,True,False,1359,,Tue Dec 15 01:08:52 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_banners/889339916781576192/1599606183,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
id,889339916781576192,889339916781576192,Altius Volantis,altiusvolantis,Poland ,,22 | Brony | Furry | Miraculer | Funtasian | DJ/Producer | Chill Pony,,,False,215,176,0,Mon Jul 24 04:22:14 +0000 2017,3625,,,True,False,1359,,1338652212172640258,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_banners/889339916781576192/1599606183,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,889339916781576192,889339916781576192,Altius Volantis,altiusvolantis,Poland ,,22 | Brony | Furry | Miraculer | Funtasian | DJ/Producer | Chill Pony,,,False,215,176,0,Mon Jul 24 04:22:14 +0000 2017,3625,,,True,False,1359,,1338652212172640258,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_banners/889339916781576192/1599606183,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
text,889339916781576192,889339916781576192,Altius Volantis,altiusvolantis,Poland ,,22 | Brony | Furry | Miraculer | Funtasian | DJ/Producer | Chill Pony,,,False,215,176,0,Mon Jul 24 04:22:14 +0000 2017,3625,,,True,False,1359,,"Also new profile pic by my friend Tina! Go check out her dA!
https://t.co/86XCAFTFJ3 https://t.co/ORNmmyZbui",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_banners/889339916781576192/1599606183,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,889339916781576192,889339916781576192,Altius Volantis,altiusvolantis,Poland ,,22 | Brony | Furry | Miraculer | Funtasian | DJ/Producer | Chill Pony,,,False,215,176,0,Mon Jul 24 04:22:14 +0000 2017,3625,,,True,False,1359,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_banners/889339916781576192/1599606183,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
entities,889339916781576192,889339916781576192,Altius Volantis,altiusvolantis,Poland ,,22 | Brony | Furry | Miraculer | Funtasian | DJ/Producer | Chill Pony,,,False,215,176,0,Mon Jul 24 04:22:14 +0000 2017,3625,,,True,False,1359,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/86XCAFTFJ3', 'expanded_url': 'https://www.deviantart.com/dark-reaper-0', 'display_url': 'deviantart.com/dark-reaper-0', 'indices': [61, 84]}], 'media': [{'id': 1338652204887060481, 'id_str': '1338652204887060481', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/EpPZFn4WMAEZquM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPZFn4WMAEZquM.jpg', 'url': 'https://t.co/ORNmmyZbui', 'display_url': 'pic.twitter.com/ORNmmyZbui', 'expanded_url': 'https://twitter.com/altiusvolantis/status/1338652212172640258/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1959, 'h': 1959, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_banners/889339916781576192/1599606183,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
extended_entities,889339916781576192,889339916781576192,Altius Volantis,altiusvolantis,Poland ,,22 | Brony | Furry | Miraculer | Funtasian | DJ/Producer | Chill Pony,,,False,215,176,0,Mon Jul 24 04:22:14 +0000 2017,3625,,,True,False,1359,,"{'media': [{'id': 1338652204887060481, 'id_str': '1338652204887060481', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/EpPZFn4WMAEZquM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPZFn4WMAEZquM.jpg', 'url': 'https://t.co/ORNmmyZbui', 'display_url': 'pic.twitter.com/ORNmmyZbui', 'expanded_url': 'https://twitter.com/altiusvolantis/status/1338652212172640258/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1959, 'h': 1959, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_banners/889339916781576192/1599606183,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
source,889339916781576192,889339916781576192,Altius Volantis,altiusvolantis,Poland ,,22 | Brony | Furry | Miraculer | Funtasian | DJ/Producer | Chill Pony,,,False,215,176,0,Mon Jul 24 04:22:14 +0000 2017,3625,,,True,False,1359,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_banners/889339916781576192/1599606183,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,889339916781576192,889339916781576192,Altius Volantis,altiusvolantis,Poland ,,22 | Brony | Furry | Miraculer | Funtasian | DJ/Producer | Chill Pony,,,False,215,176,0,Mon Jul 24 04:22:14 +0000 2017,3625,,,True,False,1359,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_images/1338651856550191110/fBstuSfj_normal.jpg,https://pbs.twimg.com/profile_banners/889339916781576192/1599606183,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
