,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1160489989026852865,1160489989026852865,👻Baby Ghoul👻,baby_ghoul_,,,"Ava 🌌
The Coven 🔮
Twitch Affiliate 🎮
I am NOT an UwU Streamer 🥺
She/Her 🐷
Twitch: https://t.co/lSdQPWBhm4",,"{'urls': [{'url': 'https://t.co/lSdQPWBhm4', 'expanded_url': 'http://twitch.tv/baby_ghoul_', 'display_url': 'twitch.tv/baby_ghoul_', 'indices': [82, 105]}]}",False,179,264,2,Sun Aug 11 09:55:49 +0000 2019,6070,,,False,False,1182,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_banners/1160489989026852865/1588907739,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1160489989026852865,1160489989026852865,👻Baby Ghoul👻,baby_ghoul_,,,"Ava 🌌
The Coven 🔮
Twitch Affiliate 🎮
I am NOT an UwU Streamer 🥺
She/Her 🐷
Twitch: https://t.co/lSdQPWBhm4",,,False,179,264,2,Sun Aug 11 09:55:49 +0000 2019,6070,,,False,False,1182,,Tue Dec 15 07:12:20 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_banners/1160489989026852865/1588907739,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1160489989026852865,1160489989026852865,👻Baby Ghoul👻,baby_ghoul_,,,"Ava 🌌
The Coven 🔮
Twitch Affiliate 🎮
I am NOT an UwU Streamer 🥺
She/Her 🐷
Twitch: https://t.co/lSdQPWBhm4",,,False,179,264,2,Sun Aug 11 09:55:49 +0000 2019,6070,,,False,False,1182,,1338743680790913025,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_banners/1160489989026852865/1588907739,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1160489989026852865,1160489989026852865,👻Baby Ghoul👻,baby_ghoul_,,,"Ava 🌌
The Coven 🔮
Twitch Affiliate 🎮
I am NOT an UwU Streamer 🥺
She/Her 🐷
Twitch: https://t.co/lSdQPWBhm4",,,False,179,264,2,Sun Aug 11 09:55:49 +0000 2019,6070,,,False,False,1182,,1338743680790913025,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_banners/1160489989026852865/1588907739,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1160489989026852865,1160489989026852865,👻Baby Ghoul👻,baby_ghoul_,,,"Ava 🌌
The Coven 🔮
Twitch Affiliate 🎮
I am NOT an UwU Streamer 🥺
She/Her 🐷
Twitch: https://t.co/lSdQPWBhm4",,,False,179,264,2,Sun Aug 11 09:55:49 +0000 2019,6070,,,False,False,1182,,A friend told me that if you can't sleep it's because you're awake in somebody else's dream. So if that's the case… https://t.co/jDfOJTiINU,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_banners/1160489989026852865/1588907739,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1160489989026852865,1160489989026852865,👻Baby Ghoul👻,baby_ghoul_,,,"Ava 🌌
The Coven 🔮
Twitch Affiliate 🎮
I am NOT an UwU Streamer 🥺
She/Her 🐷
Twitch: https://t.co/lSdQPWBhm4",,,False,179,264,2,Sun Aug 11 09:55:49 +0000 2019,6070,,,False,False,1182,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_banners/1160489989026852865/1588907739,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1160489989026852865,1160489989026852865,👻Baby Ghoul👻,baby_ghoul_,,,"Ava 🌌
The Coven 🔮
Twitch Affiliate 🎮
I am NOT an UwU Streamer 🥺
She/Her 🐷
Twitch: https://t.co/lSdQPWBhm4",,,False,179,264,2,Sun Aug 11 09:55:49 +0000 2019,6070,,,False,False,1182,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jDfOJTiINU', 'expanded_url': 'https://twitter.com/i/web/status/1338743680790913025', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_banners/1160489989026852865/1588907739,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1160489989026852865,1160489989026852865,👻Baby Ghoul👻,baby_ghoul_,,,"Ava 🌌
The Coven 🔮
Twitch Affiliate 🎮
I am NOT an UwU Streamer 🥺
She/Her 🐷
Twitch: https://t.co/lSdQPWBhm4",,,False,179,264,2,Sun Aug 11 09:55:49 +0000 2019,6070,,,False,False,1182,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_banners/1160489989026852865/1588907739,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1160489989026852865,1160489989026852865,👻Baby Ghoul👻,baby_ghoul_,,,"Ava 🌌
The Coven 🔮
Twitch Affiliate 🎮
I am NOT an UwU Streamer 🥺
She/Her 🐷
Twitch: https://t.co/lSdQPWBhm4",,,False,179,264,2,Sun Aug 11 09:55:49 +0000 2019,6070,,,False,False,1182,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_banners/1160489989026852865/1588907739,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1160489989026852865,1160489989026852865,👻Baby Ghoul👻,baby_ghoul_,,,"Ava 🌌
The Coven 🔮
Twitch Affiliate 🎮
I am NOT an UwU Streamer 🥺
She/Her 🐷
Twitch: https://t.co/lSdQPWBhm4",,,False,179,264,2,Sun Aug 11 09:55:49 +0000 2019,6070,,,False,False,1182,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_images/1322571462235082753/t3T_LN4V_normal.jpg,https://pbs.twimg.com/profile_banners/1160489989026852865/1588907739,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
