,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,{'urls': []},False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,Tue Dec 15 15:00:58 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,1338861616549412872,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,1338861616549412872,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,???? When you pay bail who takes the money because no ways 💀 https://t.co/MMomyDJNLU,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MMomyDJNLU', 'expanded_url': 'https://twitter.com/zimlive/status/1338860166792429575', 'display_url': 'twitter.com/zimlive/status…', 'indices': [61, 84]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,2193150934,2193150934,Bob Wa Bantu 🏳️‍🌈,bobbybenza,IN A BAG 💰,,"a creative on an ultralight beam, seeking her God dream 🔦 | Blessed 💕🙏🏾 | Abiola’s Mum 🤰🏾",,,False,1230,699,0,Sat Nov 23 19:35:35 +0000 2013,12136,,,True,False,20967,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_images/1333350946978615298/b5TQkOZq_normal.jpg,https://pbs.twimg.com/profile_banners/2193150934/1578181197,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
