,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,16943656,16943656,CJ,cjBaarde,"the bay, ca",,@The_Basedment #EatDinosaurs,https://t.co/Tabn4XMxVC,"{'urls': [{'url': 'https://t.co/Tabn4XMxVC', 'expanded_url': 'http://www.thebasedment.com', 'display_url': 'thebasedment.com', 'indices': [0, 23]}]}",False,232,631,10,Fri Oct 24 04:48:53 +0000 2008,26079,,,True,False,28140,,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_banners/16943656/1570079850,000000,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none
description,16943656,16943656,CJ,cjBaarde,"the bay, ca",,@The_Basedment #EatDinosaurs,https://t.co/Tabn4XMxVC,{'urls': []},False,232,631,10,Fri Oct 24 04:48:53 +0000 2008,26079,,,True,False,28140,,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_banners/16943656/1570079850,000000,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none
created_at,16943656,16943656,CJ,cjBaarde,"the bay, ca",,@The_Basedment #EatDinosaurs,https://t.co/Tabn4XMxVC,,False,232,631,10,Fri Oct 24 04:48:53 +0000 2008,26079,,,True,False,28140,,Sat Dec 12 03:22:35 +0000 2020,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_banners/16943656/1570079850,000000,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none
id,16943656,16943656,CJ,cjBaarde,"the bay, ca",,@The_Basedment #EatDinosaurs,https://t.co/Tabn4XMxVC,,False,232,631,10,Fri Oct 24 04:48:53 +0000 2008,26079,,,True,False,28140,,1337598696918171648,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_banners/16943656/1570079850,000000,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none
id_str,16943656,16943656,CJ,cjBaarde,"the bay, ca",,@The_Basedment #EatDinosaurs,https://t.co/Tabn4XMxVC,,False,232,631,10,Fri Oct 24 04:48:53 +0000 2008,26079,,,True,False,28140,,1337598696918171648,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_banners/16943656/1570079850,000000,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none
text,16943656,16943656,CJ,cjBaarde,"the bay, ca",,@The_Basedment #EatDinosaurs,https://t.co/Tabn4XMxVC,,False,232,631,10,Fri Oct 24 04:48:53 +0000 2008,26079,,,True,False,28140,,Mannnnn I’ve been shooting my shot with customers the past few weeks and asking them what they do and if they need… https://t.co/tIHQCEWjFo,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_banners/16943656/1570079850,000000,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none
truncated,16943656,16943656,CJ,cjBaarde,"the bay, ca",,@The_Basedment #EatDinosaurs,https://t.co/Tabn4XMxVC,,False,232,631,10,Fri Oct 24 04:48:53 +0000 2008,26079,,,True,False,28140,,True,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_banners/16943656/1570079850,000000,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none
entities,16943656,16943656,CJ,cjBaarde,"the bay, ca",,@The_Basedment #EatDinosaurs,https://t.co/Tabn4XMxVC,,False,232,631,10,Fri Oct 24 04:48:53 +0000 2008,26079,,,True,False,28140,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tIHQCEWjFo', 'expanded_url': 'https://twitter.com/i/web/status/1337598696918171648', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_banners/16943656/1570079850,000000,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none
source,16943656,16943656,CJ,cjBaarde,"the bay, ca",,@The_Basedment #EatDinosaurs,https://t.co/Tabn4XMxVC,,False,232,631,10,Fri Oct 24 04:48:53 +0000 2008,26079,,,True,False,28140,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_banners/16943656/1570079850,000000,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,16943656,16943656,CJ,cjBaarde,"the bay, ca",,@The_Basedment #EatDinosaurs,https://t.co/Tabn4XMxVC,,False,232,631,10,Fri Oct 24 04:48:53 +0000 2008,26079,,,True,False,28140,,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_images/1042430924879622144/9uTjjva7_normal.jpg,https://pbs.twimg.com/profile_banners/16943656/1570079850,000000,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none
