,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1079160903814270977,1079160903814270977,Roewyn 🌈✨||,drownanathema,,,"I don't care, where you've been, how many miles I still love you.",,{'urls': []},False,145,219,3,Sat Dec 29 23:43:04 +0000 2018,12067,,,False,False,1331,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_banners/1079160903814270977/1580738347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1079160903814270977,1079160903814270977,Roewyn 🌈✨||,drownanathema,,,"I don't care, where you've been, how many miles I still love you.",,,False,145,219,3,Sat Dec 29 23:43:04 +0000 2018,12067,,,False,False,1331,,Sun Dec 06 23:41:13 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_banners/1079160903814270977/1580738347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1079160903814270977,1079160903814270977,Roewyn 🌈✨||,drownanathema,,,"I don't care, where you've been, how many miles I still love you.",,,False,145,219,3,Sat Dec 29 23:43:04 +0000 2018,12067,,,False,False,1331,,1335731047842029568,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_banners/1079160903814270977/1580738347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1079160903814270977,1079160903814270977,Roewyn 🌈✨||,drownanathema,,,"I don't care, where you've been, how many miles I still love you.",,,False,145,219,3,Sat Dec 29 23:43:04 +0000 2018,12067,,,False,False,1331,,1335731047842029568,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_banners/1079160903814270977/1580738347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1079160903814270977,1079160903814270977,Roewyn 🌈✨||,drownanathema,,,"I don't care, where you've been, how many miles I still love you.",,,False,145,219,3,Sat Dec 29 23:43:04 +0000 2018,12067,,,False,False,1331,,@gwatsky I'd love a hoodie!! a medium would be awesome!!,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_banners/1079160903814270977/1580738347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1079160903814270977,1079160903814270977,Roewyn 🌈✨||,drownanathema,,,"I don't care, where you've been, how many miles I still love you.",,,False,145,219,3,Sat Dec 29 23:43:04 +0000 2018,12067,,,False,False,1331,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_banners/1079160903814270977/1580738347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1079160903814270977,1079160903814270977,Roewyn 🌈✨||,drownanathema,,,"I don't care, where you've been, how many miles I still love you.",,,False,145,219,3,Sat Dec 29 23:43:04 +0000 2018,12067,,,False,False,1331,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gwatsky', 'name': 'watsky', 'id': 103467620, 'id_str': '103467620', 'indices': [0, 8]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_banners/1079160903814270977/1580738347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1079160903814270977,1079160903814270977,Roewyn 🌈✨||,drownanathema,,,"I don't care, where you've been, how many miles I still love you.",,,False,145,219,3,Sat Dec 29 23:43:04 +0000 2018,12067,,,False,False,1331,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_banners/1079160903814270977/1580738347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1079160903814270977,1079160903814270977,Roewyn 🌈✨||,drownanathema,,,"I don't care, where you've been, how many miles I still love you.",,,False,145,219,3,Sat Dec 29 23:43:04 +0000 2018,12067,,,False,False,1331,,1335730511910584321,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_banners/1079160903814270977/1580738347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1079160903814270977,1079160903814270977,Roewyn 🌈✨||,drownanathema,,,"I don't care, where you've been, how many miles I still love you.",,,False,145,219,3,Sat Dec 29 23:43:04 +0000 2018,12067,,,False,False,1331,,1335730511910584321,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_images/1203379081938640896/vpjIfORu_normal.jpg,https://pbs.twimg.com/profile_banners/1079160903814270977/1580738347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
