,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,829526604296646656,829526604296646656,Taylor💛,ekr_2002,"Trenton, MI",,18🥰 • Stay Strong🌻• They/Them🏳️‍🌈• NEDA💜,,{'urls': []},False,183,323,0,Thu Feb 09 03:05:29 +0000 2017,9102,,,False,False,3618,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_banners/829526604296646656/1599157690,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,829526604296646656,829526604296646656,Taylor💛,ekr_2002,"Trenton, MI",,18🥰 • Stay Strong🌻• They/Them🏳️‍🌈• NEDA💜,,,False,183,323,0,Thu Feb 09 03:05:29 +0000 2017,9102,,,False,False,3618,,Mon Dec 14 16:26:23 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_banners/829526604296646656/1599157690,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
id,829526604296646656,829526604296646656,Taylor💛,ekr_2002,"Trenton, MI",,18🥰 • Stay Strong🌻• They/Them🏳️‍🌈• NEDA💜,,,False,183,323,0,Thu Feb 09 03:05:29 +0000 2017,9102,,,False,False,3618,,1338520724357656576,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_banners/829526604296646656/1599157690,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,829526604296646656,829526604296646656,Taylor💛,ekr_2002,"Trenton, MI",,18🥰 • Stay Strong🌻• They/Them🏳️‍🌈• NEDA💜,,,False,183,323,0,Thu Feb 09 03:05:29 +0000 2017,9102,,,False,False,3618,,1338520724357656576,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_banners/829526604296646656/1599157690,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
text,829526604296646656,829526604296646656,Taylor💛,ekr_2002,"Trenton, MI",,18🥰 • Stay Strong🌻• They/Them🏳️‍🌈• NEDA💜,,,False,183,323,0,Thu Feb 09 03:05:29 +0000 2017,9102,,,False,False,3618,,@lellolila I love you Lila💛🥺,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_banners/829526604296646656/1599157690,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,829526604296646656,829526604296646656,Taylor💛,ekr_2002,"Trenton, MI",,18🥰 • Stay Strong🌻• They/Them🏳️‍🌈• NEDA💜,,,False,183,323,0,Thu Feb 09 03:05:29 +0000 2017,9102,,,False,False,3618,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_banners/829526604296646656/1599157690,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
entities,829526604296646656,829526604296646656,Taylor💛,ekr_2002,"Trenton, MI",,18🥰 • Stay Strong🌻• They/Them🏳️‍🌈• NEDA💜,,,False,183,323,0,Thu Feb 09 03:05:29 +0000 2017,9102,,,False,False,3618,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lellolila', 'name': 'liluh', 'id': 364425903, 'id_str': '364425903', 'indices': [0, 10]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_banners/829526604296646656/1599157690,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
source,829526604296646656,829526604296646656,Taylor💛,ekr_2002,"Trenton, MI",,18🥰 • Stay Strong🌻• They/Them🏳️‍🌈• NEDA💜,,,False,183,323,0,Thu Feb 09 03:05:29 +0000 2017,9102,,,False,False,3618,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_banners/829526604296646656/1599157690,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,829526604296646656,829526604296646656,Taylor💛,ekr_2002,"Trenton, MI",,18🥰 • Stay Strong🌻• They/Them🏳️‍🌈• NEDA💜,,,False,183,323,0,Thu Feb 09 03:05:29 +0000 2017,9102,,,False,False,3618,,1338503273628786694,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_banners/829526604296646656/1599157690,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,829526604296646656,829526604296646656,Taylor💛,ekr_2002,"Trenton, MI",,18🥰 • Stay Strong🌻• They/Them🏳️‍🌈• NEDA💜,,,False,183,323,0,Thu Feb 09 03:05:29 +0000 2017,9102,,,False,False,3618,,1338503273628786694,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_banners/829526604296646656/1599157690,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,829526604296646656,829526604296646656,Taylor💛,ekr_2002,"Trenton, MI",,18🥰 • Stay Strong🌻• They/Them🏳️‍🌈• NEDA💜,,,False,183,323,0,Thu Feb 09 03:05:29 +0000 2017,9102,,,False,False,3618,,364425903,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_images/1338175140300017665/k3wDzQET_normal.jpg,https://pbs.twimg.com/profile_banners/829526604296646656/1599157690,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
