,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,99845577,99845577,Yo' Mama! (They/Them),espenza,"In your head, no where else",,Not here for your shit. Try me!,,{'urls': []},False,1305,4812,8,Mon Dec 28 03:10:53 +0000 2009,77028,,,False,False,21066,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_banners/99845577/1603393171,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,99845577,99845577,Yo' Mama! (They/Them),espenza,"In your head, no where else",,Not here for your shit. Try me!,,,False,1305,4812,8,Mon Dec 28 03:10:53 +0000 2009,77028,,,False,False,21066,,Tue Dec 15 06:39:21 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_banners/99845577/1603393171,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,99845577,99845577,Yo' Mama! (They/Them),espenza,"In your head, no where else",,Not here for your shit. Try me!,,,False,1305,4812,8,Mon Dec 28 03:10:53 +0000 2009,77028,,,False,False,21066,,1338735377922760704,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_banners/99845577/1603393171,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,99845577,99845577,Yo' Mama! (They/Them),espenza,"In your head, no where else",,Not here for your shit. Try me!,,,False,1305,4812,8,Mon Dec 28 03:10:53 +0000 2009,77028,,,False,False,21066,,1338735377922760704,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_banners/99845577/1603393171,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,99845577,99845577,Yo' Mama! (They/Them),espenza,"In your head, no where else",,Not here for your shit. Try me!,,,False,1305,4812,8,Mon Dec 28 03:10:53 +0000 2009,77028,,,False,False,21066,,RT @DWUhlfelderLaw: Governor DeSantis wants to sanction me for trying to save lives. I will not back down https://t.co/cCTIIfm6Cu,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_banners/99845577/1603393171,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,99845577,99845577,Yo' Mama! (They/Them),espenza,"In your head, no where else",,Not here for your shit. Try me!,,,False,1305,4812,8,Mon Dec 28 03:10:53 +0000 2009,77028,,,False,False,21066,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_banners/99845577/1603393171,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,99845577,99845577,Yo' Mama! (They/Them),espenza,"In your head, no where else",,Not here for your shit. Try me!,,,False,1305,4812,8,Mon Dec 28 03:10:53 +0000 2009,77028,,,False,False,21066,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DWUhlfelderLaw', 'name': 'Daniel Uhlfelder', 'id': 1011970623470489601, 'id_str': '1011970623470489601', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1338648748512210944, 'id_str': '1338648748512210944', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338648748512210944/pu/img/iaY5e0GnZR9x3Pxt.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338648748512210944/pu/img/iaY5e0GnZR9x3Pxt.jpg', 'url': 'https://t.co/cCTIIfm6Cu', 'display_url': 'pic.twitter.com/cCTIIfm6Cu', 'expanded_url': 'https://twitter.com/DWUhlfelderLaw/status/1338648859707396096/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1338648859707396096, 'source_status_id_str': '1338648859707396096', 'source_user_id': 1011970623470489601, 'source_user_id_str': '1011970623470489601'}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_banners/99845577/1603393171,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,99845577,99845577,Yo' Mama! (They/Them),espenza,"In your head, no where else",,Not here for your shit. Try me!,,,False,1305,4812,8,Mon Dec 28 03:10:53 +0000 2009,77028,,,False,False,21066,,"{'media': [{'id': 1338648748512210944, 'id_str': '1338648748512210944', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338648748512210944/pu/img/iaY5e0GnZR9x3Pxt.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338648748512210944/pu/img/iaY5e0GnZR9x3Pxt.jpg', 'url': 'https://t.co/cCTIIfm6Cu', 'display_url': 'pic.twitter.com/cCTIIfm6Cu', 'expanded_url': 'https://twitter.com/DWUhlfelderLaw/status/1338648859707396096/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1338648859707396096, 'source_status_id_str': '1338648859707396096', 'source_user_id': 1011970623470489601, 'source_user_id_str': '1011970623470489601', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 75100, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338648748512210944/pu/vid/640x360/rfrXyObhUdxpfFpM.mp4?tag=10'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338648748512210944/pu/vid/1280x720/BbHZhDPX3bkvJ_sT.mp4?tag=10'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338648748512210944/pu/vid/480x270/AGYVeSBcgoOdeUn7.mp4?tag=10'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1338648748512210944/pu/pl/Gk132pcmzpruVsCE.m3u8?tag=10'}]}, 'additional_media_info': {'monetizable': False}}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_banners/99845577/1603393171,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,99845577,99845577,Yo' Mama! (They/Them),espenza,"In your head, no where else",,Not here for your shit. Try me!,,,False,1305,4812,8,Mon Dec 28 03:10:53 +0000 2009,77028,,,False,False,21066,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_banners/99845577/1603393171,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,99845577,99845577,Yo' Mama! (They/Them),espenza,"In your head, no where else",,Not here for your shit. Try me!,,,False,1305,4812,8,Mon Dec 28 03:10:53 +0000 2009,77028,,,False,False,21066,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_images/1332461980108550144/qXxgHyqO_normal.jpg,https://pbs.twimg.com/profile_banners/99845577/1603393171,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
