,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2492821621,2492821621,kasey,glorifythose,"sydney,aus     ",,i hate kpop stans,https://t.co/V17wOdHkrH,"{'urls': [{'url': 'https://t.co/V17wOdHkrH', 'expanded_url': 'http://curiouscat.me/joshdunau', 'display_url': 'curiouscat.me/joshdunau', 'indices': [0, 23]}]}",False,4146,199,29,Tue May 13 11:11:30 +0000 2014,62377,,,True,False,42616,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_banners/2492821621/1567989767,E1A2FF,000000,000000,000000,False,True,False,False,False,False,False,none
description,2492821621,2492821621,kasey,glorifythose,"sydney,aus     ",,i hate kpop stans,https://t.co/V17wOdHkrH,{'urls': []},False,4146,199,29,Tue May 13 11:11:30 +0000 2014,62377,,,True,False,42616,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_banners/2492821621/1567989767,E1A2FF,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,2492821621,2492821621,kasey,glorifythose,"sydney,aus     ",,i hate kpop stans,https://t.co/V17wOdHkrH,,False,4146,199,29,Tue May 13 11:11:30 +0000 2014,62377,,,True,False,42616,,Mon Nov 23 21:33:53 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_banners/2492821621/1567989767,E1A2FF,000000,000000,000000,False,True,False,False,False,False,False,none
id,2492821621,2492821621,kasey,glorifythose,"sydney,aus     ",,i hate kpop stans,https://t.co/V17wOdHkrH,,False,4146,199,29,Tue May 13 11:11:30 +0000 2014,62377,,,True,False,42616,,1330987961203060736,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_banners/2492821621/1567989767,E1A2FF,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,2492821621,2492821621,kasey,glorifythose,"sydney,aus     ",,i hate kpop stans,https://t.co/V17wOdHkrH,,False,4146,199,29,Tue May 13 11:11:30 +0000 2014,62377,,,True,False,42616,,1330987961203060736,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_banners/2492821621/1567989767,E1A2FF,000000,000000,000000,False,True,False,False,False,False,False,none
text,2492821621,2492821621,kasey,glorifythose,"sydney,aus     ",,i hate kpop stans,https://t.co/V17wOdHkrH,,False,4146,199,29,Tue May 13 11:11:30 +0000 2014,62377,,,True,False,42616,,@yungblud i’m poor don’t do this to meeeee,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_banners/2492821621/1567989767,E1A2FF,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,2492821621,2492821621,kasey,glorifythose,"sydney,aus     ",,i hate kpop stans,https://t.co/V17wOdHkrH,,False,4146,199,29,Tue May 13 11:11:30 +0000 2014,62377,,,True,False,42616,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_banners/2492821621/1567989767,E1A2FF,000000,000000,000000,False,True,False,False,False,False,False,none
entities,2492821621,2492821621,kasey,glorifythose,"sydney,aus     ",,i hate kpop stans,https://t.co/V17wOdHkrH,,False,4146,199,29,Tue May 13 11:11:30 +0000 2014,62377,,,True,False,42616,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yungblud', 'name': 'YUNGBLUD’s on mars', 'id': 1693633363, 'id_str': '1693633363', 'indices': [0, 9]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_banners/2492821621/1567989767,E1A2FF,000000,000000,000000,False,True,False,False,False,False,False,none
source,2492821621,2492821621,kasey,glorifythose,"sydney,aus     ",,i hate kpop stans,https://t.co/V17wOdHkrH,,False,4146,199,29,Tue May 13 11:11:30 +0000 2014,62377,,,True,False,42616,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_banners/2492821621/1567989767,E1A2FF,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,2492821621,2492821621,kasey,glorifythose,"sydney,aus     ",,i hate kpop stans,https://t.co/V17wOdHkrH,,False,4146,199,29,Tue May 13 11:11:30 +0000 2014,62377,,,True,False,42616,,1330987748287799299,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_images/1206200872591450113/sH6ksRnA_normal.jpg,https://pbs.twimg.com/profile_banners/2492821621/1567989767,E1A2FF,000000,000000,000000,False,True,False,False,False,False,False,none
