,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1020529456467927040,1020529456467927040,ǝʇɐN pɹɐʇǝɹ ǝlqɐɹouoɥsᴉp ɹoʇɔop 🥰,greatgarett,,,"not a religious atheist this is a bio also love a nice fire/
ice cream vendor by trade",,{'urls': []},False,274,281,6,Sat Jul 21 04:42:37 +0000 2018,44301,,,False,False,29323,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_banners/1020529456467927040/1600913592,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,1020529456467927040,1020529456467927040,ǝʇɐN pɹɐʇǝɹ ǝlqɐɹouoɥsᴉp ɹoʇɔop 🥰,greatgarett,,,"not a religious atheist this is a bio also love a nice fire/
ice cream vendor by trade",,,False,274,281,6,Sat Jul 21 04:42:37 +0000 2018,44301,,,False,False,29323,,Tue Dec 15 05:52:59 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_banners/1020529456467927040/1600913592,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,1020529456467927040,1020529456467927040,ǝʇɐN pɹɐʇǝɹ ǝlqɐɹouoɥsᴉp ɹoʇɔop 🥰,greatgarett,,,"not a religious atheist this is a bio also love a nice fire/
ice cream vendor by trade",,,False,274,281,6,Sat Jul 21 04:42:37 +0000 2018,44301,,,False,False,29323,,1338723712334442501,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_banners/1020529456467927040/1600913592,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,1020529456467927040,1020529456467927040,ǝʇɐN pɹɐʇǝɹ ǝlqɐɹouoɥsᴉp ɹoʇɔop 🥰,greatgarett,,,"not a religious atheist this is a bio also love a nice fire/
ice cream vendor by trade",,,False,274,281,6,Sat Jul 21 04:42:37 +0000 2018,44301,,,False,False,29323,,1338723712334442501,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_banners/1020529456467927040/1600913592,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,1020529456467927040,1020529456467927040,ǝʇɐN pɹɐʇǝɹ ǝlqɐɹouoɥsᴉp ɹoʇɔop 🥰,greatgarett,,,"not a religious atheist this is a bio also love a nice fire/
ice cream vendor by trade",,,False,274,281,6,Sat Jul 21 04:42:37 +0000 2018,44301,,,False,False,29323,,@steverey42 doxxing me and my ex isn't cool bro https://t.co/gLCzPUHgZH,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_banners/1020529456467927040/1600913592,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,1020529456467927040,1020529456467927040,ǝʇɐN pɹɐʇǝɹ ǝlqɐɹouoɥsᴉp ɹoʇɔop 🥰,greatgarett,,,"not a religious atheist this is a bio also love a nice fire/
ice cream vendor by trade",,,False,274,281,6,Sat Jul 21 04:42:37 +0000 2018,44301,,,False,False,29323,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_banners/1020529456467927040/1600913592,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,1020529456467927040,1020529456467927040,ǝʇɐN pɹɐʇǝɹ ǝlqɐɹouoɥsᴉp ɹoʇɔop 🥰,greatgarett,,,"not a religious atheist this is a bio also love a nice fire/
ice cream vendor by trade",,,False,274,281,6,Sat Jul 21 04:42:37 +0000 2018,44301,,,False,False,29323,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'steverey42', 'name': 'Steve Reynolds', 'id': 2885603042, 'id_str': '2885603042', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1338723710325444610, 'id_str': '1338723710325444610', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/media/EpQaHyZXUAIPUWc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQaHyZXUAIPUWc.jpg', 'url': 'https://t.co/gLCzPUHgZH', 'display_url': 'pic.twitter.com/gLCzPUHgZH', 'expanded_url': 'https://twitter.com/greatgarett/status/1338723712334442501/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 318, 'h': 434, 'resize': 'fit'}, 'large': {'w': 318, 'h': 434, 'resize': 'fit'}, 'small': {'w': 318, 'h': 434, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_banners/1020529456467927040/1600913592,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
extended_entities,1020529456467927040,1020529456467927040,ǝʇɐN pɹɐʇǝɹ ǝlqɐɹouoɥsᴉp ɹoʇɔop 🥰,greatgarett,,,"not a religious atheist this is a bio also love a nice fire/
ice cream vendor by trade",,,False,274,281,6,Sat Jul 21 04:42:37 +0000 2018,44301,,,False,False,29323,,"{'media': [{'id': 1338723710325444610, 'id_str': '1338723710325444610', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/media/EpQaHyZXUAIPUWc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQaHyZXUAIPUWc.jpg', 'url': 'https://t.co/gLCzPUHgZH', 'display_url': 'pic.twitter.com/gLCzPUHgZH', 'expanded_url': 'https://twitter.com/greatgarett/status/1338723712334442501/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 318, 'h': 434, 'resize': 'fit'}, 'large': {'w': 318, 'h': 434, 'resize': 'fit'}, 'small': {'w': 318, 'h': 434, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_banners/1020529456467927040/1600913592,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,1020529456467927040,1020529456467927040,ǝʇɐN pɹɐʇǝɹ ǝlqɐɹouoɥsᴉp ɹoʇɔop 🥰,greatgarett,,,"not a religious atheist this is a bio also love a nice fire/
ice cream vendor by trade",,,False,274,281,6,Sat Jul 21 04:42:37 +0000 2018,44301,,,False,False,29323,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_banners/1020529456467927040/1600913592,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,1020529456467927040,1020529456467927040,ǝʇɐN pɹɐʇǝɹ ǝlqɐɹouoɥsᴉp ɹoʇɔop 🥰,greatgarett,,,"not a religious atheist this is a bio also love a nice fire/
ice cream vendor by trade",,,False,274,281,6,Sat Jul 21 04:42:37 +0000 2018,44301,,,False,False,29323,,1338722682443993088,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_images/1221214321784451072/x5DUdgfj_normal.jpg,https://pbs.twimg.com/profile_banners/1020529456467927040/1600913592,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
