,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1270051707947569155,1270051707947569155,baby axel | support pinned ♡,happysagang,17 ♡ sweden,,100% gay for jeong sagang ★ he/him,https://t.co/sd05OclgTE,"{'urls': [{'url': 'https://t.co/sd05OclgTE', 'expanded_url': 'https://happysagang.carrd.co/', 'display_url': 'happysagang.carrd.co', 'indices': [0, 23]}]}",False,697,701,14,Mon Jun 08 17:55:08 +0000 2020,13379,,,False,False,17083,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_banners/1270051707947569155/1608006847,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1270051707947569155,1270051707947569155,baby axel | support pinned ♡,happysagang,17 ♡ sweden,,100% gay for jeong sagang ★ he/him,https://t.co/sd05OclgTE,{'urls': []},False,697,701,14,Mon Jun 08 17:55:08 +0000 2020,13379,,,False,False,17083,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_banners/1270051707947569155/1608006847,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1270051707947569155,1270051707947569155,baby axel | support pinned ♡,happysagang,17 ♡ sweden,,100% gay for jeong sagang ★ he/him,https://t.co/sd05OclgTE,,False,697,701,14,Mon Jun 08 17:55:08 +0000 2020,13379,,,False,False,17083,,Tue Dec 15 08:17:12 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_banners/1270051707947569155/1608006847,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1270051707947569155,1270051707947569155,baby axel | support pinned ♡,happysagang,17 ♡ sweden,,100% gay for jeong sagang ★ he/him,https://t.co/sd05OclgTE,,False,697,701,14,Mon Jun 08 17:55:08 +0000 2020,13379,,,False,False,17083,,1338760005508624385,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_banners/1270051707947569155/1608006847,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1270051707947569155,1270051707947569155,baby axel | support pinned ♡,happysagang,17 ♡ sweden,,100% gay for jeong sagang ★ he/him,https://t.co/sd05OclgTE,,False,697,701,14,Mon Jun 08 17:55:08 +0000 2020,13379,,,False,False,17083,,1338760005508624385,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_banners/1270051707947569155/1608006847,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1270051707947569155,1270051707947569155,baby axel | support pinned ♡,happysagang,17 ♡ sweden,,100% gay for jeong sagang ★ he/him,https://t.co/sd05OclgTE,,False,697,701,14,Mon Jun 08 17:55:08 +0000 2020,13379,,,False,False,17083,,who gave u the right to be this fucking pretty https://t.co/HdLZKDZxlN,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_banners/1270051707947569155/1608006847,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1270051707947569155,1270051707947569155,baby axel | support pinned ♡,happysagang,17 ♡ sweden,,100% gay for jeong sagang ★ he/him,https://t.co/sd05OclgTE,,False,697,701,14,Mon Jun 08 17:55:08 +0000 2020,13379,,,False,False,17083,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_banners/1270051707947569155/1608006847,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1270051707947569155,1270051707947569155,baby axel | support pinned ♡,happysagang,17 ♡ sweden,,100% gay for jeong sagang ★ he/him,https://t.co/sd05OclgTE,,False,697,701,14,Mon Jun 08 17:55:08 +0000 2020,13379,,,False,False,17083,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HdLZKDZxlN', 'expanded_url': 'https://twitter.com/ATEEZofficial/status/1338759678734475264', 'display_url': 'twitter.com/ATEEZofficial/…', 'indices': [47, 70]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_banners/1270051707947569155/1608006847,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1270051707947569155,1270051707947569155,baby axel | support pinned ♡,happysagang,17 ♡ sweden,,100% gay for jeong sagang ★ he/him,https://t.co/sd05OclgTE,,False,697,701,14,Mon Jun 08 17:55:08 +0000 2020,13379,,,False,False,17083,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_banners/1270051707947569155/1608006847,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1270051707947569155,1270051707947569155,baby axel | support pinned ♡,happysagang,17 ♡ sweden,,100% gay for jeong sagang ★ he/him,https://t.co/sd05OclgTE,,False,697,701,14,Mon Jun 08 17:55:08 +0000 2020,13379,,,False,False,17083,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_images/1338703864577601536/jtSazoRP_normal.jpg,https://pbs.twimg.com/profile_banners/1270051707947569155/1608006847,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
