,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,{'urls': []},False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,Mon Dec 14 22:59:24 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,1338619628671655940,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,1338619628671655940,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,"@ChampagneDosser Yasss I love little mix and the 4 songs would be Women like me, Wasabi, Wings, Secret love song",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChampagneDosser', 'name': ""Corbyn's Jewish Cat 🐱🌹 #StopTheLeftPurge"", 'id': 3817855246, 'id_str': '3817855246', 'indices': [0, 16]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,1338541336509689857,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,1338541336509689857,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,3817855246,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,3817855246,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,ChampagneDosser,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1301107404059430917,1301107404059430917,helinguness,helingunesxo,"London, England",,•proud supporter of mental health🦋•,,,False,123,117,0,Wed Sep 02 10:39:23 +0000 2020,919,,,False,False,1023,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_images/1333121411897024513/OpxycKuL_normal.jpg,https://pbs.twimg.com/profile_banners/1301107404059430917/1607976561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
