,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,628571175,628571175,✨💫🌿𝓗🌿💫✨,hunterpaigee_,"Ontario, Canada",,Grant♡ | 21 | probably napping tbh,https://t.co/Nl6iTBzTr1,"{'urls': [{'url': 'https://t.co/Nl6iTBzTr1', 'expanded_url': 'http://instagram.ca/hunterpaigee_', 'display_url': 'instagram.ca/hunterpaigee_', 'indices': [0, 23]}]}",False,2649,461,1,Fri Jul 06 15:52:18 +0000 2012,8733,,,True,False,5503,,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_banners/628571175/1594507565,9266CC,000000,DDEEF6,333333,False,True,False,False,False,False,False,none
description,628571175,628571175,✨💫🌿𝓗🌿💫✨,hunterpaigee_,"Ontario, Canada",,Grant♡ | 21 | probably napping tbh,https://t.co/Nl6iTBzTr1,{'urls': []},False,2649,461,1,Fri Jul 06 15:52:18 +0000 2012,8733,,,True,False,5503,,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_banners/628571175/1594507565,9266CC,000000,DDEEF6,333333,False,True,False,False,False,False,False,none
created_at,628571175,628571175,✨💫🌿𝓗🌿💫✨,hunterpaigee_,"Ontario, Canada",,Grant♡ | 21 | probably napping tbh,https://t.co/Nl6iTBzTr1,,False,2649,461,1,Fri Jul 06 15:52:18 +0000 2012,8733,,,True,False,5503,,Tue Dec 15 09:57:45 +0000 2020,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_banners/628571175/1594507565,9266CC,000000,DDEEF6,333333,False,True,False,False,False,False,False,none
id,628571175,628571175,✨💫🌿𝓗🌿💫✨,hunterpaigee_,"Ontario, Canada",,Grant♡ | 21 | probably napping tbh,https://t.co/Nl6iTBzTr1,,False,2649,461,1,Fri Jul 06 15:52:18 +0000 2012,8733,,,True,False,5503,,1338785307970375680,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_banners/628571175/1594507565,9266CC,000000,DDEEF6,333333,False,True,False,False,False,False,False,none
id_str,628571175,628571175,✨💫🌿𝓗🌿💫✨,hunterpaigee_,"Ontario, Canada",,Grant♡ | 21 | probably napping tbh,https://t.co/Nl6iTBzTr1,,False,2649,461,1,Fri Jul 06 15:52:18 +0000 2012,8733,,,True,False,5503,,1338785307970375680,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_banners/628571175/1594507565,9266CC,000000,DDEEF6,333333,False,True,False,False,False,False,False,none
text,628571175,628571175,✨💫🌿𝓗🌿💫✨,hunterpaigee_,"Ontario, Canada",,Grant♡ | 21 | probably napping tbh,https://t.co/Nl6iTBzTr1,,False,2649,461,1,Fri Jul 06 15:52:18 +0000 2012,8733,,,True,False,5503,,i can’t wait to crawl into bed when i get home 😩😩,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_banners/628571175/1594507565,9266CC,000000,DDEEF6,333333,False,True,False,False,False,False,False,none
truncated,628571175,628571175,✨💫🌿𝓗🌿💫✨,hunterpaigee_,"Ontario, Canada",,Grant♡ | 21 | probably napping tbh,https://t.co/Nl6iTBzTr1,,False,2649,461,1,Fri Jul 06 15:52:18 +0000 2012,8733,,,True,False,5503,,False,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_banners/628571175/1594507565,9266CC,000000,DDEEF6,333333,False,True,False,False,False,False,False,none
entities,628571175,628571175,✨💫🌿𝓗🌿💫✨,hunterpaigee_,"Ontario, Canada",,Grant♡ | 21 | probably napping tbh,https://t.co/Nl6iTBzTr1,,False,2649,461,1,Fri Jul 06 15:52:18 +0000 2012,8733,,,True,False,5503,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_banners/628571175/1594507565,9266CC,000000,DDEEF6,333333,False,True,False,False,False,False,False,none
source,628571175,628571175,✨💫🌿𝓗🌿💫✨,hunterpaigee_,"Ontario, Canada",,Grant♡ | 21 | probably napping tbh,https://t.co/Nl6iTBzTr1,,False,2649,461,1,Fri Jul 06 15:52:18 +0000 2012,8733,,,True,False,5503,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_banners/628571175/1594507565,9266CC,000000,DDEEF6,333333,False,True,False,False,False,False,False,none
in_reply_to_status_id,628571175,628571175,✨💫🌿𝓗🌿💫✨,hunterpaigee_,"Ontario, Canada",,Grant♡ | 21 | probably napping tbh,https://t.co/Nl6iTBzTr1,,False,2649,461,1,Fri Jul 06 15:52:18 +0000 2012,8733,,,True,False,5503,,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_images/1284698431253032960/m0pxSnfM_normal.jpg,https://pbs.twimg.com/profile_banners/628571175/1594507565,9266CC,000000,DDEEF6,333333,False,True,False,False,False,False,False,none
