,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,761185945949462528,761185945949462528,I am 1 in 4,iam_1in4,UK,,"One in four people will suffer from #mentalillness at some stage this year, we aim to help to reduce the #stigma around #mentalhealth We will not judge you",https://t.co/wHH8HLp7cN,"{'urls': [{'url': 'https://t.co/wHH8HLp7cN', 'expanded_url': 'http://www.iam1in4.com', 'display_url': 'iam1in4.com', 'indices': [0, 23]}]}",False,21648,9190,203,Thu Aug 04 13:04:06 +0000 2016,2359,,,False,False,7691,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_banners/761185945949462528/1470316848,000077,000000,000000,000000,False,False,False,False,False,False,False,none
description,761185945949462528,761185945949462528,I am 1 in 4,iam_1in4,UK,,"One in four people will suffer from #mentalillness at some stage this year, we aim to help to reduce the #stigma around #mentalhealth We will not judge you",https://t.co/wHH8HLp7cN,{'urls': []},False,21648,9190,203,Thu Aug 04 13:04:06 +0000 2016,2359,,,False,False,7691,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_banners/761185945949462528/1470316848,000077,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,761185945949462528,761185945949462528,I am 1 in 4,iam_1in4,UK,,"One in four people will suffer from #mentalillness at some stage this year, we aim to help to reduce the #stigma around #mentalhealth We will not judge you",https://t.co/wHH8HLp7cN,,False,21648,9190,203,Thu Aug 04 13:04:06 +0000 2016,2359,,,False,False,7691,,Mon Dec 14 13:15:03 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_banners/761185945949462528/1470316848,000077,000000,000000,000000,False,False,False,False,False,False,False,none
id,761185945949462528,761185945949462528,I am 1 in 4,iam_1in4,UK,,"One in four people will suffer from #mentalillness at some stage this year, we aim to help to reduce the #stigma around #mentalhealth We will not judge you",https://t.co/wHH8HLp7cN,,False,21648,9190,203,Thu Aug 04 13:04:06 +0000 2016,2359,,,False,False,7691,,1338472574204981248,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_banners/761185945949462528/1470316848,000077,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,761185945949462528,761185945949462528,I am 1 in 4,iam_1in4,UK,,"One in four people will suffer from #mentalillness at some stage this year, we aim to help to reduce the #stigma around #mentalhealth We will not judge you",https://t.co/wHH8HLp7cN,,False,21648,9190,203,Thu Aug 04 13:04:06 +0000 2016,2359,,,False,False,7691,,1338472574204981248,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_banners/761185945949462528/1470316848,000077,000000,000000,000000,False,False,False,False,False,False,False,none
text,761185945949462528,761185945949462528,I am 1 in 4,iam_1in4,UK,,"One in four people will suffer from #mentalillness at some stage this year, we aim to help to reduce the #stigma around #mentalhealth We will not judge you",https://t.co/wHH8HLp7cN,,False,21648,9190,203,Thu Aug 04 13:04:06 +0000 2016,2359,,,False,False,7691,,Anxiety causes us to worry and fear everything and always seems to heighten when we need to sleep. Here are some si… https://t.co/QRITpGBz6K,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_banners/761185945949462528/1470316848,000077,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,761185945949462528,761185945949462528,I am 1 in 4,iam_1in4,UK,,"One in four people will suffer from #mentalillness at some stage this year, we aim to help to reduce the #stigma around #mentalhealth We will not judge you",https://t.co/wHH8HLp7cN,,False,21648,9190,203,Thu Aug 04 13:04:06 +0000 2016,2359,,,False,False,7691,,True,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_banners/761185945949462528/1470316848,000077,000000,000000,000000,False,False,False,False,False,False,False,none
entities,761185945949462528,761185945949462528,I am 1 in 4,iam_1in4,UK,,"One in four people will suffer from #mentalillness at some stage this year, we aim to help to reduce the #stigma around #mentalhealth We will not judge you",https://t.co/wHH8HLp7cN,,False,21648,9190,203,Thu Aug 04 13:04:06 +0000 2016,2359,,,False,False,7691,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QRITpGBz6K', 'expanded_url': 'https://twitter.com/i/web/status/1338472574204981248', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_banners/761185945949462528/1470316848,000077,000000,000000,000000,False,False,False,False,False,False,False,none
source,761185945949462528,761185945949462528,I am 1 in 4,iam_1in4,UK,,"One in four people will suffer from #mentalillness at some stage this year, we aim to help to reduce the #stigma around #mentalhealth We will not judge you",https://t.co/wHH8HLp7cN,,False,21648,9190,203,Thu Aug 04 13:04:06 +0000 2016,2359,,,False,False,7691,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_banners/761185945949462528/1470316848,000077,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,761185945949462528,761185945949462528,I am 1 in 4,iam_1in4,UK,,"One in four people will suffer from #mentalillness at some stage this year, we aim to help to reduce the #stigma around #mentalhealth We will not judge you",https://t.co/wHH8HLp7cN,,False,21648,9190,203,Thu Aug 04 13:04:06 +0000 2016,2359,,,False,False,7691,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_images/761190150324031488/qRoNMlCy_normal.jpg,https://pbs.twimg.com/profile_banners/761185945949462528/1470316848,000077,000000,000000,000000,False,False,False,False,False,False,False,none
