,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1306908401205641216,1306908401205641216,rina 🍬 |,joonJPN,"she/her, 6teen",,"rina wants to be joons friend.


























MULTISTAN 🏳️‍🌈🇯🇵








READ CARRD",https://t.co/TP7tY5zH1Y,"{'urls': [{'url': 'https://t.co/TP7tY5zH1Y', 'expanded_url': 'http://redwish.carrd.co', 'display_url': 'redwish.carrd.co', 'indices': [0, 23]}]}",False,623,642,5,Fri Sep 18 10:50:30 +0000 2020,6726,,,False,False,3899,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_banners/1306908401205641216/1607988908,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,1306908401205641216,1306908401205641216,rina 🍬 |,joonJPN,"she/her, 6teen",,"rina wants to be joons friend.


























MULTISTAN 🏳️‍🌈🇯🇵








READ CARRD",https://t.co/TP7tY5zH1Y,{'urls': []},False,623,642,5,Fri Sep 18 10:50:30 +0000 2020,6726,,,False,False,3899,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_banners/1306908401205641216/1607988908,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,1306908401205641216,1306908401205641216,rina 🍬 |,joonJPN,"she/her, 6teen",,"rina wants to be joons friend.


























MULTISTAN 🏳️‍🌈🇯🇵








READ CARRD",https://t.co/TP7tY5zH1Y,,False,623,642,5,Fri Sep 18 10:50:30 +0000 2020,6726,,,False,False,3899,,Tue Dec 15 00:12:25 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_banners/1306908401205641216/1607988908,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,1306908401205641216,1306908401205641216,rina 🍬 |,joonJPN,"she/her, 6teen",,"rina wants to be joons friend.


























MULTISTAN 🏳️‍🌈🇯🇵








READ CARRD",https://t.co/TP7tY5zH1Y,,False,623,642,5,Fri Sep 18 10:50:30 +0000 2020,6726,,,False,False,3899,,1338638005377126400,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_banners/1306908401205641216/1607988908,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,1306908401205641216,1306908401205641216,rina 🍬 |,joonJPN,"she/her, 6teen",,"rina wants to be joons friend.


























MULTISTAN 🏳️‍🌈🇯🇵








READ CARRD",https://t.co/TP7tY5zH1Y,,False,623,642,5,Fri Sep 18 10:50:30 +0000 2020,6726,,,False,False,3899,,1338638005377126400,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_banners/1306908401205641216/1607988908,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,1306908401205641216,1306908401205641216,rina 🍬 |,joonJPN,"she/her, 6teen",,"rina wants to be joons friend.


























MULTISTAN 🏳️‍🌈🇯🇵








READ CARRD",https://t.co/TP7tY5zH1Y,,False,623,642,5,Fri Sep 18 10:50:30 +0000 2020,6726,,,False,False,3899,,@maeegguk_ LUV U 🥺👋,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_banners/1306908401205641216/1607988908,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,1306908401205641216,1306908401205641216,rina 🍬 |,joonJPN,"she/her, 6teen",,"rina wants to be joons friend.


























MULTISTAN 🏳️‍🌈🇯🇵








READ CARRD",https://t.co/TP7tY5zH1Y,,False,623,642,5,Fri Sep 18 10:50:30 +0000 2020,6726,,,False,False,3899,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_banners/1306908401205641216/1607988908,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,1306908401205641216,1306908401205641216,rina 🍬 |,joonJPN,"she/her, 6teen",,"rina wants to be joons friend.


























MULTISTAN 🏳️‍🌈🇯🇵








READ CARRD",https://t.co/TP7tY5zH1Y,,False,623,642,5,Fri Sep 18 10:50:30 +0000 2020,6726,,,False,False,3899,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maeegguk_', 'name': '𖧵haneyshu⁷生', 'id': 1305992704384405504, 'id_str': '1305992704384405504', 'indices': [0, 10]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_banners/1306908401205641216/1607988908,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,1306908401205641216,1306908401205641216,rina 🍬 |,joonJPN,"she/her, 6teen",,"rina wants to be joons friend.


























MULTISTAN 🏳️‍🌈🇯🇵








READ CARRD",https://t.co/TP7tY5zH1Y,,False,623,642,5,Fri Sep 18 10:50:30 +0000 2020,6726,,,False,False,3899,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_banners/1306908401205641216/1607988908,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,1306908401205641216,1306908401205641216,rina 🍬 |,joonJPN,"she/her, 6teen",,"rina wants to be joons friend.


























MULTISTAN 🏳️‍🌈🇯🇵








READ CARRD",https://t.co/TP7tY5zH1Y,,False,623,642,5,Fri Sep 18 10:50:30 +0000 2020,6726,,,False,False,3899,,1338633128181567489,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_images/1338572999776235521/9bqaChRN_normal.jpg,https://pbs.twimg.com/profile_banners/1306908401205641216/1607988908,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
