,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1205919280535130112,1205919280535130112,Kennedy🤍🤧🐻,lyfewithkennedy,United States,,"When you being real,you ain’t worry bout who fake💅🏾",,{'urls': []},False,55,234,0,Sat Dec 14 18:35:56 +0000 2019,1885,,,True,False,919,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_banners/1205919280535130112/1592434699,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1205919280535130112,1205919280535130112,Kennedy🤍🤧🐻,lyfewithkennedy,United States,,"When you being real,you ain’t worry bout who fake💅🏾",,,False,55,234,0,Sat Dec 14 18:35:56 +0000 2019,1885,,,True,False,919,,Mon Dec 14 03:08:59 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_banners/1205919280535130112/1592434699,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1205919280535130112,1205919280535130112,Kennedy🤍🤧🐻,lyfewithkennedy,United States,,"When you being real,you ain’t worry bout who fake💅🏾",,,False,55,234,0,Sat Dec 14 18:35:56 +0000 2019,1885,,,True,False,919,,1338320050596564997,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_banners/1205919280535130112/1592434699,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1205919280535130112,1205919280535130112,Kennedy🤍🤧🐻,lyfewithkennedy,United States,,"When you being real,you ain’t worry bout who fake💅🏾",,,False,55,234,0,Sat Dec 14 18:35:56 +0000 2019,1885,,,True,False,919,,1338320050596564997,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_banners/1205919280535130112/1592434699,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1205919280535130112,1205919280535130112,Kennedy🤍🤧🐻,lyfewithkennedy,United States,,"When you being real,you ain’t worry bout who fake💅🏾",,,False,55,234,0,Sat Dec 14 18:35:56 +0000 2019,1885,,,True,False,919,,@BrownskinKizzle @iampaulineyonke @_notgwen_ Yes she also said that and said that she’s still dealing with trying t… https://t.co/7hVS86Rmfd,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_banners/1205919280535130112/1592434699,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1205919280535130112,1205919280535130112,Kennedy🤍🤧🐻,lyfewithkennedy,United States,,"When you being real,you ain’t worry bout who fake💅🏾",,,False,55,234,0,Sat Dec 14 18:35:56 +0000 2019,1885,,,True,False,919,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_banners/1205919280535130112/1592434699,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1205919280535130112,1205919280535130112,Kennedy🤍🤧🐻,lyfewithkennedy,United States,,"When you being real,you ain’t worry bout who fake💅🏾",,,False,55,234,0,Sat Dec 14 18:35:56 +0000 2019,1885,,,True,False,919,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BrownskinKizzle', 'name': 'da geeee🖤', 'id': 781456837, 'id_str': '781456837', 'indices': [0, 16]}, {'screen_name': 'iampaulineyonke', 'name': 'Pauline Yonke', 'id': 1692914977, 'id_str': '1692914977', 'indices': [17, 33]}, {'screen_name': '_notgwen_', 'name': 'tear her ism', 'id': 1288603622033563648, 'id_str': '1288603622033563648', 'indices': [34, 44]}], 'urls': [{'url': 'https://t.co/7hVS86Rmfd', 'expanded_url': 'https://twitter.com/i/web/status/1338320050596564997', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_banners/1205919280535130112/1592434699,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1205919280535130112,1205919280535130112,Kennedy🤍🤧🐻,lyfewithkennedy,United States,,"When you being real,you ain’t worry bout who fake💅🏾",,,False,55,234,0,Sat Dec 14 18:35:56 +0000 2019,1885,,,True,False,919,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_banners/1205919280535130112/1592434699,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1205919280535130112,1205919280535130112,Kennedy🤍🤧🐻,lyfewithkennedy,United States,,"When you being real,you ain’t worry bout who fake💅🏾",,,False,55,234,0,Sat Dec 14 18:35:56 +0000 2019,1885,,,True,False,919,,1338249499634851842,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_banners/1205919280535130112/1592434699,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1205919280535130112,1205919280535130112,Kennedy🤍🤧🐻,lyfewithkennedy,United States,,"When you being real,you ain’t worry bout who fake💅🏾",,,False,55,234,0,Sat Dec 14 18:35:56 +0000 2019,1885,,,True,False,919,,1338249499634851842,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_images/1307042868255756288/OvJVviKF_normal.jpg,https://pbs.twimg.com/profile_banners/1205919280535130112/1592434699,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
