,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,"{'urls': [{'url': 'https://t.co/4e5vFiQ2yo', 'expanded_url': 'http://shsl-sapphic.carrd.co', 'display_url': 'shsl-sapphic.carrd.co', 'indices': [0, 23]}]}",False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,{'urls': []},False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,Tue Dec 15 13:40:21 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,1338841326872236034,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,1338841326872236034,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,RT @SH1TINNIT: idk who needs to hear this but fellow lgbt+ people can be biphobic. we said ynb is a bisexual anthem and i saw a LOT of lgbt…,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SH1TINNIT', 'name': 'aylene ༓☾ is being outspoken today', 'id': 1287595548057493504, 'id_str': '1287595548057493504', 'indices': [3, 13]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
