,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,28625737,28625737,pip ☮︎,ohhpip,🪨🗿🍍,,she/her • carer • queer • chunky • catmama • trekkie • bohopunk • hellene • horror fanatic • spongebob obsessed •  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇹🇪🇺🏳️‍🌈🔞,https://t.co/jU4NYMVSeZ,"{'urls': [{'url': 'https://t.co/jU4NYMVSeZ', 'expanded_url': 'https://ohhpip.carrd.co', 'display_url': 'ohhpip.carrd.co', 'indices': [0, 23]}]}",False,553,600,26,Fri Apr 03 18:42:12 +0000 2009,16933,,,True,False,83650,,,False,False,True,FFF04D,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_banners/28625737/1607080552,FAB81E,FFFFFF,050505,6B5B5E,True,True,False,False,False,False,False,none
description,28625737,28625737,pip ☮︎,ohhpip,🪨🗿🍍,,she/her • carer • queer • chunky • catmama • trekkie • bohopunk • hellene • horror fanatic • spongebob obsessed •  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇹🇪🇺🏳️‍🌈🔞,https://t.co/jU4NYMVSeZ,{'urls': []},False,553,600,26,Fri Apr 03 18:42:12 +0000 2009,16933,,,True,False,83650,,,False,False,True,FFF04D,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_banners/28625737/1607080552,FAB81E,FFFFFF,050505,6B5B5E,True,True,False,False,False,False,False,none
created_at,28625737,28625737,pip ☮︎,ohhpip,🪨🗿🍍,,she/her • carer • queer • chunky • catmama • trekkie • bohopunk • hellene • horror fanatic • spongebob obsessed •  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇹🇪🇺🏳️‍🌈🔞,https://t.co/jU4NYMVSeZ,,False,553,600,26,Fri Apr 03 18:42:12 +0000 2009,16933,,,True,False,83650,,Tue Dec 15 07:48:56 +0000 2020,False,False,True,FFF04D,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_banners/28625737/1607080552,FAB81E,FFFFFF,050505,6B5B5E,True,True,False,False,False,False,False,none
id,28625737,28625737,pip ☮︎,ohhpip,🪨🗿🍍,,she/her • carer • queer • chunky • catmama • trekkie • bohopunk • hellene • horror fanatic • spongebob obsessed •  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇹🇪🇺🏳️‍🌈🔞,https://t.co/jU4NYMVSeZ,,False,553,600,26,Fri Apr 03 18:42:12 +0000 2009,16933,,,True,False,83650,,1338752888714223616,False,False,True,FFF04D,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_banners/28625737/1607080552,FAB81E,FFFFFF,050505,6B5B5E,True,True,False,False,False,False,False,none
id_str,28625737,28625737,pip ☮︎,ohhpip,🪨🗿🍍,,she/her • carer • queer • chunky • catmama • trekkie • bohopunk • hellene • horror fanatic • spongebob obsessed •  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇹🇪🇺🏳️‍🌈🔞,https://t.co/jU4NYMVSeZ,,False,553,600,26,Fri Apr 03 18:42:12 +0000 2009,16933,,,True,False,83650,,1338752888714223616,False,False,True,FFF04D,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_banners/28625737/1607080552,FAB81E,FFFFFF,050505,6B5B5E,True,True,False,False,False,False,False,none
text,28625737,28625737,pip ☮︎,ohhpip,🪨🗿🍍,,she/her • carer • queer • chunky • catmama • trekkie • bohopunk • hellene • horror fanatic • spongebob obsessed •  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇹🇪🇺🏳️‍🌈🔞,https://t.co/jU4NYMVSeZ,,False,553,600,26,Fri Apr 03 18:42:12 +0000 2009,16933,,,True,False,83650,,Do former presidents still get addressed as ‘Mr President’? I’m watching Frost/Nixon and they keep calling Nixon ‘M… https://t.co/5F6UKEdy7r,False,False,True,FFF04D,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_banners/28625737/1607080552,FAB81E,FFFFFF,050505,6B5B5E,True,True,False,False,False,False,False,none
truncated,28625737,28625737,pip ☮︎,ohhpip,🪨🗿🍍,,she/her • carer • queer • chunky • catmama • trekkie • bohopunk • hellene • horror fanatic • spongebob obsessed •  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇹🇪🇺🏳️‍🌈🔞,https://t.co/jU4NYMVSeZ,,False,553,600,26,Fri Apr 03 18:42:12 +0000 2009,16933,,,True,False,83650,,True,False,False,True,FFF04D,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_banners/28625737/1607080552,FAB81E,FFFFFF,050505,6B5B5E,True,True,False,False,False,False,False,none
entities,28625737,28625737,pip ☮︎,ohhpip,🪨🗿🍍,,she/her • carer • queer • chunky • catmama • trekkie • bohopunk • hellene • horror fanatic • spongebob obsessed •  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇹🇪🇺🏳️‍🌈🔞,https://t.co/jU4NYMVSeZ,,False,553,600,26,Fri Apr 03 18:42:12 +0000 2009,16933,,,True,False,83650,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5F6UKEdy7r', 'expanded_url': 'https://twitter.com/i/web/status/1338752888714223616', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,True,FFF04D,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_banners/28625737/1607080552,FAB81E,FFFFFF,050505,6B5B5E,True,True,False,False,False,False,False,none
source,28625737,28625737,pip ☮︎,ohhpip,🪨🗿🍍,,she/her • carer • queer • chunky • catmama • trekkie • bohopunk • hellene • horror fanatic • spongebob obsessed •  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇹🇪🇺🏳️‍🌈🔞,https://t.co/jU4NYMVSeZ,,False,553,600,26,Fri Apr 03 18:42:12 +0000 2009,16933,,,True,False,83650,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,True,FFF04D,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_banners/28625737/1607080552,FAB81E,FFFFFF,050505,6B5B5E,True,True,False,False,False,False,False,none
in_reply_to_status_id,28625737,28625737,pip ☮︎,ohhpip,🪨🗿🍍,,she/her • carer • queer • chunky • catmama • trekkie • bohopunk • hellene • horror fanatic • spongebob obsessed •  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇹🇪🇺🏳️‍🌈🔞,https://t.co/jU4NYMVSeZ,,False,553,600,26,Fri Apr 03 18:42:12 +0000 2009,16933,,,True,False,83650,,,False,False,True,FFF04D,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_images/1337244166515027970/gcT4ZGCh_normal.jpg,https://pbs.twimg.com/profile_banners/28625737/1607080552,FAB81E,FFFFFF,050505,6B5B5E,True,True,False,False,False,False,False,none
