,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1183098470833545216,1183098470833545216,popcorn 🍿,sapphicrapt0r,,,21 | he/ him | Charles | genderfluid Lesbian | ᵇˡᵐ | self dx autistic | diagnosed dyslexic | ✨ discourse free ✨ lov me some solidarity too 💚,https://t.co/BoVUJlBfDk,"{'urls': [{'url': 'https://t.co/BoVUJlBfDk', 'expanded_url': 'https://pronouny.xyz/u/sapphicraptor', 'display_url': 'pronouny.xyz/u/sapphicraptor', 'indices': [0, 23]}]}",False,790,241,2,Sat Oct 12 19:13:58 +0000 2019,15995,,,False,False,6560,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_banners/1183098470833545216/1601827371,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1183098470833545216,1183098470833545216,popcorn 🍿,sapphicrapt0r,,,21 | he/ him | Charles | genderfluid Lesbian | ᵇˡᵐ | self dx autistic | diagnosed dyslexic | ✨ discourse free ✨ lov me some solidarity too 💚,https://t.co/BoVUJlBfDk,{'urls': []},False,790,241,2,Sat Oct 12 19:13:58 +0000 2019,15995,,,False,False,6560,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_banners/1183098470833545216/1601827371,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1183098470833545216,1183098470833545216,popcorn 🍿,sapphicrapt0r,,,21 | he/ him | Charles | genderfluid Lesbian | ᵇˡᵐ | self dx autistic | diagnosed dyslexic | ✨ discourse free ✨ lov me some solidarity too 💚,https://t.co/BoVUJlBfDk,,False,790,241,2,Sat Oct 12 19:13:58 +0000 2019,15995,,,False,False,6560,,Fri Oct 16 19:34:26 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_banners/1183098470833545216/1601827371,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1183098470833545216,1183098470833545216,popcorn 🍿,sapphicrapt0r,,,21 | he/ him | Charles | genderfluid Lesbian | ᵇˡᵐ | self dx autistic | diagnosed dyslexic | ✨ discourse free ✨ lov me some solidarity too 💚,https://t.co/BoVUJlBfDk,,False,790,241,2,Sat Oct 12 19:13:58 +0000 2019,15995,,,False,False,6560,,1317187163470135296,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_banners/1183098470833545216/1601827371,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1183098470833545216,1183098470833545216,popcorn 🍿,sapphicrapt0r,,,21 | he/ him | Charles | genderfluid Lesbian | ᵇˡᵐ | self dx autistic | diagnosed dyslexic | ✨ discourse free ✨ lov me some solidarity too 💚,https://t.co/BoVUJlBfDk,,False,790,241,2,Sat Oct 12 19:13:58 +0000 2019,15995,,,False,False,6560,,1317187163470135296,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_banners/1183098470833545216/1601827371,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1183098470833545216,1183098470833545216,popcorn 🍿,sapphicrapt0r,,,21 | he/ him | Charles | genderfluid Lesbian | ᵇˡᵐ | self dx autistic | diagnosed dyslexic | ✨ discourse free ✨ lov me some solidarity too 💚,https://t.co/BoVUJlBfDk,,False,790,241,2,Sat Oct 12 19:13:58 +0000 2019,15995,,,False,False,6560,,"RT @DysIexicDyke: ""if we allow trans women into women's bathrooms, you're putting women in danger!""

fun Fact! the first toilet debate was…",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_banners/1183098470833545216/1601827371,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1183098470833545216,1183098470833545216,popcorn 🍿,sapphicrapt0r,,,21 | he/ him | Charles | genderfluid Lesbian | ᵇˡᵐ | self dx autistic | diagnosed dyslexic | ✨ discourse free ✨ lov me some solidarity too 💚,https://t.co/BoVUJlBfDk,,False,790,241,2,Sat Oct 12 19:13:58 +0000 2019,15995,,,False,False,6560,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_banners/1183098470833545216/1601827371,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1183098470833545216,1183098470833545216,popcorn 🍿,sapphicrapt0r,,,21 | he/ him | Charles | genderfluid Lesbian | ᵇˡᵐ | self dx autistic | diagnosed dyslexic | ✨ discourse free ✨ lov me some solidarity too 💚,https://t.co/BoVUJlBfDk,,False,790,241,2,Sat Oct 12 19:13:58 +0000 2019,15995,,,False,False,6560,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DysIexicDyke', 'name': 'Charles', 'id': 1309827390613450753, 'id_str': '1309827390613450753', 'indices': [3, 16]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_banners/1183098470833545216/1601827371,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1183098470833545216,1183098470833545216,popcorn 🍿,sapphicrapt0r,,,21 | he/ him | Charles | genderfluid Lesbian | ᵇˡᵐ | self dx autistic | diagnosed dyslexic | ✨ discourse free ✨ lov me some solidarity too 💚,https://t.co/BoVUJlBfDk,,False,790,241,2,Sat Oct 12 19:13:58 +0000 2019,15995,,,False,False,6560,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_banners/1183098470833545216/1601827371,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1183098470833545216,1183098470833545216,popcorn 🍿,sapphicrapt0r,,,21 | he/ him | Charles | genderfluid Lesbian | ᵇˡᵐ | self dx autistic | diagnosed dyslexic | ✨ discourse free ✨ lov me some solidarity too 💚,https://t.co/BoVUJlBfDk,,False,790,241,2,Sat Oct 12 19:13:58 +0000 2019,15995,,,False,False,6560,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_images/1312785259088490498/fHPUlS2L_normal.jpg,https://pbs.twimg.com/profile_banners/1183098470833545216/1601827371,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
