,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1033525135234363392,1033525135234363392,seokjin day @ pinned,seokjinscroptop,Malaysia,,jaja / 18 / she/her / bts fa (slow! 🙇‍♀️) / 🐱🐹 / ❌ repost without permission / commissions open,https://t.co/NabOxphliy,"{'urls': [{'url': 'https://t.co/NabOxphliy', 'expanded_url': 'https://ko-fi.com/seokjinscroptop', 'display_url': 'ko-fi.com/seokjinscroptop', 'indices': [0, 23]}]}",False,3273,328,97,Sun Aug 26 01:22:49 +0000 2018,22015,,,False,False,17532,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_banners/1033525135234363392/1583381178,CE6E7E,000000,000000,000000,False,True,False,False,False,False,False,none
description,1033525135234363392,1033525135234363392,seokjin day @ pinned,seokjinscroptop,Malaysia,,jaja / 18 / she/her / bts fa (slow! 🙇‍♀️) / 🐱🐹 / ❌ repost without permission / commissions open,https://t.co/NabOxphliy,{'urls': []},False,3273,328,97,Sun Aug 26 01:22:49 +0000 2018,22015,,,False,False,17532,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_banners/1033525135234363392/1583381178,CE6E7E,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,1033525135234363392,1033525135234363392,seokjin day @ pinned,seokjinscroptop,Malaysia,,jaja / 18 / she/her / bts fa (slow! 🙇‍♀️) / 🐱🐹 / ❌ repost without permission / commissions open,https://t.co/NabOxphliy,,False,3273,328,97,Sun Aug 26 01:22:49 +0000 2018,22015,,,False,False,17532,,Sun Dec 13 11:49:04 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_banners/1033525135234363392/1583381178,CE6E7E,000000,000000,000000,False,True,False,False,False,False,False,none
id,1033525135234363392,1033525135234363392,seokjin day @ pinned,seokjinscroptop,Malaysia,,jaja / 18 / she/her / bts fa (slow! 🙇‍♀️) / 🐱🐹 / ❌ repost without permission / commissions open,https://t.co/NabOxphliy,,False,3273,328,97,Sun Aug 26 01:22:49 +0000 2018,22015,,,False,False,17532,,1338088543906746370,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_banners/1033525135234363392/1583381178,CE6E7E,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,1033525135234363392,1033525135234363392,seokjin day @ pinned,seokjinscroptop,Malaysia,,jaja / 18 / she/her / bts fa (slow! 🙇‍♀️) / 🐱🐹 / ❌ repost without permission / commissions open,https://t.co/NabOxphliy,,False,3273,328,97,Sun Aug 26 01:22:49 +0000 2018,22015,,,False,False,17532,,1338088543906746370,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_banners/1033525135234363392/1583381178,CE6E7E,000000,000000,000000,False,True,False,False,False,False,False,none
text,1033525135234363392,1033525135234363392,seokjin day @ pinned,seokjinscroptop,Malaysia,,jaja / 18 / she/her / bts fa (slow! 🙇‍♀️) / 🐱🐹 / ❌ repost without permission / commissions open,https://t.co/NabOxphliy,,False,3273,328,97,Sun Aug 26 01:22:49 +0000 2018,22015,,,False,False,17532,,hey jujutsu kaisen stans 😍👻👻 did you know 😳😳🤭🤭 ALI has songs for some of the characters as well 😼😼👍👍,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_banners/1033525135234363392/1583381178,CE6E7E,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,1033525135234363392,1033525135234363392,seokjin day @ pinned,seokjinscroptop,Malaysia,,jaja / 18 / she/her / bts fa (slow! 🙇‍♀️) / 🐱🐹 / ❌ repost without permission / commissions open,https://t.co/NabOxphliy,,False,3273,328,97,Sun Aug 26 01:22:49 +0000 2018,22015,,,False,False,17532,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_banners/1033525135234363392/1583381178,CE6E7E,000000,000000,000000,False,True,False,False,False,False,False,none
entities,1033525135234363392,1033525135234363392,seokjin day @ pinned,seokjinscroptop,Malaysia,,jaja / 18 / she/her / bts fa (slow! 🙇‍♀️) / 🐱🐹 / ❌ repost without permission / commissions open,https://t.co/NabOxphliy,,False,3273,328,97,Sun Aug 26 01:22:49 +0000 2018,22015,,,False,False,17532,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_banners/1033525135234363392/1583381178,CE6E7E,000000,000000,000000,False,True,False,False,False,False,False,none
source,1033525135234363392,1033525135234363392,seokjin day @ pinned,seokjinscroptop,Malaysia,,jaja / 18 / she/her / bts fa (slow! 🙇‍♀️) / 🐱🐹 / ❌ repost without permission / commissions open,https://t.co/NabOxphliy,,False,3273,328,97,Sun Aug 26 01:22:49 +0000 2018,22015,,,False,False,17532,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_banners/1033525135234363392/1583381178,CE6E7E,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,1033525135234363392,1033525135234363392,seokjin day @ pinned,seokjinscroptop,Malaysia,,jaja / 18 / she/her / bts fa (slow! 🙇‍♀️) / 🐱🐹 / ❌ repost without permission / commissions open,https://t.co/NabOxphliy,,False,3273,328,97,Sun Aug 26 01:22:49 +0000 2018,22015,,,False,False,17532,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_images/1331021019847421952/r_N8LIZp_normal.png,https://pbs.twimg.com/profile_banners/1033525135234363392/1583381178,CE6E7E,000000,000000,000000,False,True,False,False,False,False,False,none
