,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1249844089761099777,1249844089761099777,Terry is trying their best ✨,terryistrying,She/He/Them,,"*melts into floor and doesnt come back*

alt account: https://t.co/Jefvb2VqDS (mostly for vents and shit)",,"{'urls': [{'url': 'https://t.co/Jefvb2VqDS', 'expanded_url': 'https://twitter.com/tapwate67028073', 'display_url': 'twitter.com/tapwate67028073', 'indices': [54, 77]}]}",False,18,204,0,Mon Apr 13 23:37:16 +0000 2020,4731,,,False,False,510,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_banners/1249844089761099777/1607472889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1249844089761099777,1249844089761099777,Terry is trying their best ✨,terryistrying,She/He/Them,,"*melts into floor and doesnt come back*

alt account: https://t.co/Jefvb2VqDS (mostly for vents and shit)",,,False,18,204,0,Mon Apr 13 23:37:16 +0000 2020,4731,,,False,False,510,,Tue Dec 15 00:04:31 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_banners/1249844089761099777/1607472889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1249844089761099777,1249844089761099777,Terry is trying their best ✨,terryistrying,She/He/Them,,"*melts into floor and doesnt come back*

alt account: https://t.co/Jefvb2VqDS (mostly for vents and shit)",,,False,18,204,0,Mon Apr 13 23:37:16 +0000 2020,4731,,,False,False,510,,1338636015267823616,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_banners/1249844089761099777/1607472889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1249844089761099777,1249844089761099777,Terry is trying their best ✨,terryistrying,She/He/Them,,"*melts into floor and doesnt come back*

alt account: https://t.co/Jefvb2VqDS (mostly for vents and shit)",,,False,18,204,0,Mon Apr 13 23:37:16 +0000 2020,4731,,,False,False,510,,1338636015267823616,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_banners/1249844089761099777/1607472889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1249844089761099777,1249844089761099777,Terry is trying their best ✨,terryistrying,She/He/Them,,"*melts into floor and doesnt come back*

alt account: https://t.co/Jefvb2VqDS (mostly for vents and shit)",,,False,18,204,0,Mon Apr 13 23:37:16 +0000 2020,4731,,,False,False,510,,"RT @Bluuieberri: **guitar sounds**
#wilburfanart #yournewboyfriend https://t.co/1HDfGtne6m",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_banners/1249844089761099777/1607472889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1249844089761099777,1249844089761099777,Terry is trying their best ✨,terryistrying,She/He/Them,,"*melts into floor and doesnt come back*

alt account: https://t.co/Jefvb2VqDS (mostly for vents and shit)",,,False,18,204,0,Mon Apr 13 23:37:16 +0000 2020,4731,,,False,False,510,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_banners/1249844089761099777/1607472889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1249844089761099777,1249844089761099777,Terry is trying their best ✨,terryistrying,She/He/Them,,"*melts into floor and doesnt come back*

alt account: https://t.co/Jefvb2VqDS (mostly for vents and shit)",,,False,18,204,0,Mon Apr 13 23:37:16 +0000 2020,4731,,,False,False,510,,"{'hashtags': [{'text': 'wilburfanart', 'indices': [35, 48]}, {'text': 'yournewboyfriend', 'indices': [49, 66]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Bluuieberri', 'name': '☃️Bluu/Neil', 'id': 1262727923565543426, 'id_str': '1262727923565543426', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1338533701374840838, 'id_str': '1338533701374840838', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/EpNtTz5WEAY0HOI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNtTz5WEAY0HOI.jpg', 'url': 'https://t.co/1HDfGtne6m', 'display_url': 'pic.twitter.com/1HDfGtne6m', 'expanded_url': 'https://twitter.com/Bluuieberri/status/1338534055520972801/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 680, 'resize': 'fit'}, 'small': {'w': 680, 'h': 385, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1161, 'resize': 'fit'}}, 'source_status_id': 1338534055520972801, 'source_status_id_str': '1338534055520972801', 'source_user_id': 1262727923565543426, 'source_user_id_str': '1262727923565543426'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_banners/1249844089761099777/1607472889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,1249844089761099777,1249844089761099777,Terry is trying their best ✨,terryistrying,She/He/Them,,"*melts into floor and doesnt come back*

alt account: https://t.co/Jefvb2VqDS (mostly for vents and shit)",,,False,18,204,0,Mon Apr 13 23:37:16 +0000 2020,4731,,,False,False,510,,"{'media': [{'id': 1338533701374840838, 'id_str': '1338533701374840838', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/EpNtTz5WEAY0HOI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNtTz5WEAY0HOI.jpg', 'url': 'https://t.co/1HDfGtne6m', 'display_url': 'pic.twitter.com/1HDfGtne6m', 'expanded_url': 'https://twitter.com/Bluuieberri/status/1338534055520972801/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 680, 'resize': 'fit'}, 'small': {'w': 680, 'h': 385, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1161, 'resize': 'fit'}}, 'source_status_id': 1338534055520972801, 'source_status_id_str': '1338534055520972801', 'source_user_id': 1262727923565543426, 'source_user_id_str': '1262727923565543426'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_banners/1249844089761099777/1607472889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1249844089761099777,1249844089761099777,Terry is trying their best ✨,terryistrying,She/He/Them,,"*melts into floor and doesnt come back*

alt account: https://t.co/Jefvb2VqDS (mostly for vents and shit)",,,False,18,204,0,Mon Apr 13 23:37:16 +0000 2020,4731,,,False,False,510,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_banners/1249844089761099777/1607472889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1249844089761099777,1249844089761099777,Terry is trying their best ✨,terryistrying,She/He/Them,,"*melts into floor and doesnt come back*

alt account: https://t.co/Jefvb2VqDS (mostly for vents and shit)",,,False,18,204,0,Mon Apr 13 23:37:16 +0000 2020,4731,,,False,False,510,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_images/1338197099268120576/UKDiz4UE_normal.jpg,https://pbs.twimg.com/profile_banners/1249844089761099777/1607472889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
