,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1080659388749103105,1080659388749103105,bellabiich,wannabeyowaifu,,,"BLM | ACAB ||

19 |||
whore 😌💜✨",,{'urls': []},False,4,72,0,Thu Jan 03 02:57:30 +0000 2019,2325,,,False,False,608,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_banners/1080659388749103105/1600321180,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1080659388749103105,1080659388749103105,bellabiich,wannabeyowaifu,,,"BLM | ACAB ||

19 |||
whore 😌💜✨",,,False,4,72,0,Thu Jan 03 02:57:30 +0000 2019,2325,,,False,False,608,,Tue Dec 08 06:03:54 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_banners/1080659388749103105/1600321180,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1080659388749103105,1080659388749103105,bellabiich,wannabeyowaifu,,,"BLM | ACAB ||

19 |||
whore 😌💜✨",,,False,4,72,0,Thu Jan 03 02:57:30 +0000 2019,2325,,,False,False,608,,1336189742988214272,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_banners/1080659388749103105/1600321180,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1080659388749103105,1080659388749103105,bellabiich,wannabeyowaifu,,,"BLM | ACAB ||

19 |||
whore 😌💜✨",,,False,4,72,0,Thu Jan 03 02:57:30 +0000 2019,2325,,,False,False,608,,1336189742988214272,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_banners/1080659388749103105/1600321180,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1080659388749103105,1080659388749103105,bellabiich,wannabeyowaifu,,,"BLM | ACAB ||

19 |||
whore 😌💜✨",,,False,4,72,0,Thu Jan 03 02:57:30 +0000 2019,2325,,,False,False,608,,"Why cant I be one of those ppl who's deppression makes them funny 
Now I'm just sad and the only one who laughs at my jokes",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_banners/1080659388749103105/1600321180,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1080659388749103105,1080659388749103105,bellabiich,wannabeyowaifu,,,"BLM | ACAB ||

19 |||
whore 😌💜✨",,,False,4,72,0,Thu Jan 03 02:57:30 +0000 2019,2325,,,False,False,608,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_banners/1080659388749103105/1600321180,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1080659388749103105,1080659388749103105,bellabiich,wannabeyowaifu,,,"BLM | ACAB ||

19 |||
whore 😌💜✨",,,False,4,72,0,Thu Jan 03 02:57:30 +0000 2019,2325,,,False,False,608,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_banners/1080659388749103105/1600321180,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1080659388749103105,1080659388749103105,bellabiich,wannabeyowaifu,,,"BLM | ACAB ||

19 |||
whore 😌💜✨",,,False,4,72,0,Thu Jan 03 02:57:30 +0000 2019,2325,,,False,False,608,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_banners/1080659388749103105/1600321180,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1080659388749103105,1080659388749103105,bellabiich,wannabeyowaifu,,,"BLM | ACAB ||

19 |||
whore 😌💜✨",,,False,4,72,0,Thu Jan 03 02:57:30 +0000 2019,2325,,,False,False,608,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_banners/1080659388749103105/1600321180,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1080659388749103105,1080659388749103105,bellabiich,wannabeyowaifu,,,"BLM | ACAB ||

19 |||
whore 😌💜✨",,,False,4,72,0,Thu Jan 03 02:57:30 +0000 2019,2325,,,False,False,608,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_images/1306468196178821120/iwKcp1cy_normal.jpg,https://pbs.twimg.com/profile_banners/1080659388749103105/1600321180,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
